acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,rnncell,reverse_grad_weight,dropout_rate,diff_weight,sim_weight,recon_weight,lr,gamma,hidden_size
57.45,51.33,51.88,51.19,0.5241,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-11-18-28-35,lstm,0.8,0.1,0.7,0.3,0.4,2e-05,0.5,
58.24,52.48,53.17,52.36,0.5244,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-11-18-54-19,lstm,0.8,0.1,0.7,0.3,0.6,1e-05,0.5,
56.17,50.49,51.19,50.51,0.5122,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-11-19-15-02,lstm,0.8,0.1,0.7,0.3,0.6,2e-05,0.5,
58.63,52.54,53.3,52.33,0.5236,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-11-19-28-07,lstm,0.8,0.1,0.7,0.7,0.4,1e-05,0.5,
57.65,52.14,52.69,52.02,0.5229,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-11-19-51-20,lstm,0.8,0.1,0.7,0.7,0.4,2e-05,0.5,
58.19,52.05,52.69,51.92,0.5243,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-11-20-07-39,lstm,0.8,0.1,0.7,0.7,0.6,1e-05,0.5,
57.5,50.76,51.29,50.99,0.5263,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-11-20-28-11,lstm,0.8,0.1,0.7,0.7,0.6,2e-05,0.5,
58.83,52.82,53.31,52.86,0.5288,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-11-20-49-43,lstm,0.8,0.1,0.5,0.3,0.4,1e-05,0.5,
57.94,52.46,53.07,52.24,0.5238,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-11-21-07-06,lstm,0.8,0.1,0.5,0.3,0.4,2e-05,0.5,
58.29,52.55,53.19,52.39,0.5265,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-11-21-27-03,lstm,0.8,0.1,0.5,0.3,0.6,1e-05,0.5,
56.03,50.28,50.93,50.58,0.529,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-11-21-48-23,lstm,0.8,0.1,0.5,0.3,0.6,2e-05,0.5,
58.73,52.65,54.41,52.91,0.5175,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-11-22-01-21,lstm,0.8,0.1,0.5,0.7,0.4,1e-05,0.5,
57.45,50.81,52.75,50.8,0.5092,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-11-22-15-10,lstm,0.8,0.1,0.5,0.7,0.4,2e-05,0.5,
58.24,52.34,53.11,52.08,0.5283,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-11-22-28-10,lstm,0.8,0.1,0.5,0.7,0.6,1e-05,0.5,
56.96,51.01,51.86,50.78,0.5401,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-11-22-50-20,lstm,0.8,0.1,0.5,0.7,0.6,2e-05,0.5,
57.75,51.89,52.6,51.63,0.5152,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-11-23-10-49,lstm,0.6,0.3,0.7,0.3,0.4,1e-05,0.5,
57.16,51.5,52.33,51.59,0.5141,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-11-23-32-59,lstm,0.6,0.3,0.7,0.3,0.4,2e-05,0.5,
57.6,51.42,52.08,51.67,0.5087,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-11-23-46-06,lstm,0.6,0.3,0.7,0.3,0.6,1e-05,0.5,
57.11,51.62,52.36,51.41,0.5308,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-00-01-38,lstm,0.6,0.3,0.7,0.3,0.6,2e-05,0.5,
58.14,52.55,53.26,52.25,0.519,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-00-20-36,lstm,0.6,0.3,0.7,0.7,0.4,1e-05,0.5,
56.86,51.29,52.4,50.92,0.5258,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-00-45-28,lstm,0.6,0.3,0.7,0.7,0.4,2e-05,0.5,
57.06,51.88,52.65,51.96,0.5196,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-01-06-50,lstm,0.6,0.3,0.7,0.7,0.6,1e-05,0.5,
56.67,50.42,51.59,50.14,0.5153,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-01-25-43,lstm,0.6,0.3,0.7,0.7,0.6,2e-05,0.5,
