acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,rnncell,reverse_grad_weight,dropout_rate,diff_weight,sim_weight,recon_weight,lr,gamma,hidden_size
57.55,51.77,53.21,51.21,0.5211,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-21-45-10,lstm,0.2,0.2,0.1,0.1,0.3,2e-05,0.5,256.0
57.3,51.49,52.66,51.08,0.5279,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-22-04-13,lstm,0.2,0.2,0.1,0.1,0.3,2.9999999999999997e-05,0.5,256.0
57.4,52.05,53.66,51.75,0.5224,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-22-23-30,lstm,0.2,0.2,0.1,0.1,0.1,2e-05,0.5,256.0
57.89,52.79,53.85,52.47,0.5184,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-22-34-02,lstm,0.2,0.2,0.1,0.1,0.1,2.9999999999999997e-05,0.5,256.0
57.85,52.38,53.47,51.88,0.5254,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-22-46-59,lstm,0.2,0.2,0.1,0.5,0.3,2e-05,0.5,256.0
57.21,51.31,52.84,50.61,0.5262,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-23-05-29,lstm,0.2,0.2,0.1,0.5,0.3,2.9999999999999997e-05,0.5,256.0
57.16,51.57,52.63,51.38,0.5298,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-23-19-10,lstm,0.2,0.2,0.1,0.5,0.1,2e-05,0.5,256.0
57.06,50.16,52.4,49.53,0.5193,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-23-31-15,lstm,0.2,0.2,0.1,0.5,0.1,2.9999999999999997e-05,0.5,256.0
57.6,51.61,52.45,51.29,0.537,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-23-40-54,lstm,0.2,0.2,0.3,0.1,0.3,2e-05,0.5,256.0
57.55,51.57,52.56,51.08,0.5339,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-12-23-56-26,lstm,0.2,0.2,0.3,0.1,0.3,2.9999999999999997e-05,0.5,256.0
57.99,52.0,52.75,51.79,0.5222,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-13-00-13-07,lstm,0.2,0.2,0.3,0.1,0.1,2e-05,0.5,256.0
58.73,53.18,54.81,52.32,0.5259,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-13-00-31-17,lstm,0.2,0.2,0.3,0.1,0.1,2.9999999999999997e-05,0.5,256.0
57.75,52.53,53.43,52.12,0.5292,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-13-00-41-25,lstm,0.2,0.2,0.3,0.5,0.3,2e-05,0.5,256.0
57.26,51.61,52.73,51.09,0.5419,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-13-00-58-21,lstm,0.2,0.2,0.3,0.5,0.3,2.9999999999999997e-05,0.5,256.0
58.09,51.85,52.75,51.53,0.5341,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-13-01-15-16,lstm,0.2,0.2,0.3,0.5,0.1,2e-05,0.5,256.0
57.01,51.38,52.6,50.93,0.53,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-13-01-29-43,lstm,0.2,0.2,0.3,0.5,0.1,2.9999999999999997e-05,0.5,256.0
..,,,,,,,,,,,,,,,,,,
58.63,53.27,53.54,53.26,0.535,MIntRec2,misa,bert-base-uncased,1.0,misa_MIntRec2_multi-class_seed-1_2024-03-13-01-49-04,lstm,0.2,0.3,0.3,0.1,0.1,2e-05,0.5,768.0
58.53,53.23,54.08,52.99,0.5442,MIntRec2,misa,bert-base-uncased,3.0,misa_MIntRec2_multi-class_seed-3_2024-03-13-02-02-41,lstm,0.2,0.3,0.3,0.1,0.1,2e-05,0.5,768.0
58.19,53.14,53.9,52.81,0.534,MIntRec2,misa,bert-base-uncased,4.0,misa_MIntRec2_multi-class_seed-4_2024-03-13-02-18-27,lstm,0.2,0.3,0.3,0.1,0.1,2e-05,0.5,768.0
59.67,54.77,55.14,54.78,0.5373,MIntRec2,misa,bert-base-uncased,5.0,misa_MIntRec2_multi-class_seed-5_2024-03-13-02-36-22,lstm,0.2,0.3,0.3,0.1,0.1,2e-05,0.5,768.0
58.14,52.8,53.41,52.54,0.5233,MIntRec2,misa,bert-base-uncased,2.0,misa_MIntRec2_multi-class_seed-2_2024-03-13-02-56-02,lstm,0.2,0.3,0.3,0.1,0.1,2e-05,0.5,768.0
