acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,beta_shift,dropout_prob,warmup_proportion,lr,aligned_method,weight_decay
57.16,51.34,52.38,51.31,0.5183,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-13-32-23,0.005,0.1,0.1,2e-05,ctc,0.03
58.29,53.0,53.88,52.92,0.5072,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-13-46-32,0.005,0.1,0.1,2e-05,conv1d,0.03
57.21,51.79,53.37,52.35,0.5173,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-14-00-09,0.005,0.1,0.1,3e-05,ctc,0.03
57.89,51.47,54.86,50.95,0.5112,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-14-10-23,0.005,0.1,0.1,2.9999999999999997e-05,conv1d,0.03
58.39,51.87,53.39,51.76,0.5237,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-14-19-42,0.005,0.1,0.3,2e-05,ctc,0.03
57.7,51.42,53.37,51.34,0.5093,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-14-36-45,0.005,0.1,0.3,2e-05,conv1d,0.03
56.52,50.71,53.92,50.61,0.519,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-14-53-53,0.005,0.1,0.3,3e-05,ctc,0.03
57.45,50.53,52.85,50.55,0.4996,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-15-10-21,0.005,0.1,0.3,2.9999999999999997e-05,conv1d,0.03
57.45,52.21,53.14,52.23,0.5201,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-15-23-28,0.005,0.5,0.1,2e-05,ctc,0.03
58.29,50.39,50.79,51.18,0.5037,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-15-40-19,0.005,0.5,0.1,2e-05,conv1d,0.03
57.45,51.13,52.93,50.83,0.5154,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-15-51-16,0.005,0.5,0.1,3e-05,ctc,0.03
57.45,52.57,53.63,52.73,0.4974,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-16-03-09,0.005,0.5,0.1,2.9999999999999997e-05,conv1d,0.03
56.22,51.53,52.35,52.14,0.5234,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-16-14-40,0.005,0.5,0.3,2e-05,ctc,0.03
57.06,51.1,52.4,51.65,0.5016,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-16-40-44,0.005,0.5,0.3,2e-05,conv1d,0.03
57.45,50.28,54.65,50.32,0.5103,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-16-57-59,0.005,0.5,0.3,3e-05,ctc,0.03
57.26,51.48,52.28,51.81,0.4846,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-17-12-15,0.005,0.5,0.3,2.9999999999999997e-05,conv1d,0.03
57.45,51.95,52.97,51.75,0.5225,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-17-28-23,0.005,0.3,0.1,2e-05,ctc,0.03
56.76,51.44,52.12,51.98,0.5031,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-17-42-46,0.005,0.3,0.1,2e-05,conv1d,0.03
55.68,50.86,51.36,51.84,0.5102,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-18-01-02,0.005,0.3,0.1,3e-05,ctc,0.03
56.81,51.73,52.99,51.79,0.5047,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-18-16-03,0.005,0.3,0.1,2.9999999999999997e-05,conv1d,0.03
57.65,52.22,53.58,51.82,0.5122,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-18-36-14,0.005,0.3,0.3,2e-05,ctc,0.03
57.94,50.99,50.89,52.53,0.511,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-18-54-13,0.005,0.3,0.3,2e-05,conv1d,0.03
57.7,51.11,52.96,51.51,0.5162,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-19-09-10,0.005,0.3,0.3,3e-05,ctc,0.03
58.48,52.01,54.41,51.94,0.504,MIntRec2,mag_bert,bert-base-uncased,1.0,mag_bert_MIntRec2_multi-class_seed-1_2024-03-15-19-24-34,0.005,0.3,0.3,2.9999999999999997e-05,conv1d,0.03
57.3,52.61,53.39,52.68,0.5041,MIntRec2,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec2_multi-class_seed-2_2024-03-15-19-38-06,0.01,0.1,0.1,2e-05,ctc,0.03
56.62,51.48,52.32,51.66,0.5265,MIntRec2,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec2_multi-class_seed-2_2024-03-15-19-50-31,0.01,0.1,0.1,2e-05,conv1d,0.03
56.57,51.93,52.27,52.88,0.5335,MIntRec2,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec2_multi-class_seed-2_2024-03-15-20-06-53,0.01,0.1,0.1,3e-05,ctc,0.03
55.24,50.37,51.91,50.68,0.5053,MIntRec2,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec2_multi-class_seed-2_2024-03-15-20-19-33,0.01,0.1,0.1,2.9999999999999997e-05,conv1d,0.03
57.65,51.41,53.31,51.46,0.5039,MIntRec2,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec2_multi-class_seed-2_2024-03-15-20-34-28,0.01,0.1,0.3,2e-05,ctc,0.03
56.03,50.69,51.93,50.79,0.5096,MIntRec2,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec2_multi-class_seed-2_2024-03-15-20-50-05,0.01,0.1,0.3,2e-05,conv1d,0.03
58.93,53.56,54.71,53.6,0.5039,MIntRec2,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec2_multi-class_seed-2_2024-03-15-21-10-59,0.01,0.1,0.3,3e-05,ctc,0.03
56.52,51.15,53.29,51.35,0.5082,MIntRec2,mag_bert,bert-base-uncased,2.0,mag_bert_MIntRec2_multi-class_seed-2_2024-03-15-21-24-53,0.01,0.1,0.3,2.9999999999999997e-05,conv1d,0.03
