acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,dst_feature_dims,nheads,n_levels,attn_dropout,attn_dropout_v,attn_dropout_a,relu_dropout,embed_dropout,res_dropout,output_dropout,text_dropout,conv1d_kernel_size_l,conv1d_kernel_size_v,conv1d_kernel_size_a,lr
59.17,58.05,58.0,52.12,54.82,51.71,51.42,57.53,44.58,94.5,48.82,55.61,0.5805,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,1.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,4.0,4.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2e-05
59.12,58.47,58.27,52.88,53.76,52.75,51.41,57.65,44.68,94.31,49.2,55.59,0.575,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,2.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,8.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
58.68,57.39,58.56,51.84,57.52,51.47,51.71,57.87,44.78,94.43,48.69,55.77,0.5778,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,2.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,8.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2e-05
58.19,57.73,57.64,52.75,53.62,52.52,51.19,57.31,44.47,94.31,48.75,55.63,0.5922,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,2.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,8.0,4.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
58.34,57.55,57.86,52.39,54.8,52.17,51.29,57.39,44.44,94.56,49.01,55.8,0.5895,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,2.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,8.0,4.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2e-05
58.58,58.0,57.84,53.62,54.52,53.33,51.36,57.58,44.6,94.37,48.94,55.55,0.5805,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,2.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
58.34,57.7,57.5,53.32,54.51,52.87,51.26,57.63,44.44,94.56,49.07,55.63,0.5859,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,2.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,4.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2e-05
58.48,57.78,58.07,52.16,53.93,52.1,51.37,57.39,44.52,94.63,48.62,55.62,0.5778,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,2.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,4.0,4.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
59.32,58.04,58.68,51.7,55.82,51.91,51.4,57.38,44.53,94.5,48.62,55.75,0.5859,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,2.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,4.0,4.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2e-05
59.86,58.05,58.53,52.05,57.17,52.36,51.23,57.2,44.44,94.63,49.07,55.66,0.5886,MIntRec2,MIntRec2-OOD,mult,ma,bert-base-uncased,3.0,mult_ma_MIntRec2_multi-class_0_2024-04-26-09-28-13,80.0,8.0,8.0,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5.0,1.0,1.0,2.9999999999999997e-05
