acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion
58.09,57.67,58.86,52.92,55.58,52.4,50.46,56.99,44.16,94.5,49.9,55.79,0.5732,MIntRec2,MIntRec2-OOD,text,ma,bert-base-uncased,1.0,text_ma_MIntRec2_multi-class_0_2024-04-27-02-44-38,2.9999999999999997e-05,0.1,0.01
..,,,,,,,,,,,,,,,,,,,,,,
58.63,57.75,58.37,51.8,55.71,50.88,50.75,56.95,44.2,94.56,49.46,55.65,,MIntRec2,MIntRec2-OOD,text,residual,bert-base-uncased,0.0,text_residual_MIntRec2_multi-class_0_2024-05-01-01-46-51,3e-05,0.1,0.01
58.09,57.67,58.86,52.92,55.58,52.4,50.31,56.66,44.01,94.37,50.1,55.59,,MIntRec2,MIntRec2-OOD,text,residual,bert-base-uncased,1.0,text_residual_MIntRec2_multi-class_0_2024-05-01-01-46-51,2.9999999999999997e-05,0.1,0.01
56.47,56.5,56.9,51.94,52.59,51.86,50.78,56.88,44.21,94.5,49.52,55.7,,MIntRec2,MIntRec2-OOD,text,residual,bert-base-uncased,2.0,text_residual_MIntRec2_multi-class_0_2024-05-01-01-46-51,3e-05,0.1,0.01
58.68,57.95,58.24,53.23,55.95,52.22,50.73,56.91,44.24,94.63,49.33,55.62,,MIntRec2,MIntRec2-OOD,text,residual,bert-base-uncased,3.0,text_residual_MIntRec2_multi-class_0_2024-05-01-01-46-51,2.9999999999999997e-05,0.1,0.01
57.11,56.58,58.13,51.28,55.47,50.43,51.04,56.97,44.45,94.69,49.14,55.69,,MIntRec2,MIntRec2-OOD,text,residual,bert-base-uncased,4.0,text_residual_MIntRec2_multi-class_0_2024-05-01-01-46-51,3e-05,0.1,0.01
58.63,57.75,58.37,51.8,55.71,50.88,50.74,57.03,44.16,94.63,49.26,55.71,,MIntRec2,MIntRec2-OOD,text,vim,bert-base-uncased,0.0,text_vim_MIntRec2_multi-class_0_2024-05-01-01-49-05,2.9999999999999997e-05,0.1,0.01
58.09,57.67,58.86,52.92,55.58,52.4,50.23,56.66,43.99,94.43,50.29,55.69,,MIntRec2,MIntRec2-OOD,text,vim,bert-base-uncased,1.0,text_vim_MIntRec2_multi-class_0_2024-05-01-01-49-05,3e-05,0.1,0.01
56.47,56.5,56.9,51.94,52.59,51.86,50.74,56.81,44.24,94.63,49.52,55.62,,MIntRec2,MIntRec2-OOD,text,vim,bert-base-uncased,2.0,text_vim_MIntRec2_multi-class_0_2024-05-01-01-49-05,2.9999999999999997e-05,0.1,0.01
58.68,57.95,58.24,53.23,55.95,52.22,50.7,57.01,44.22,94.56,49.26,55.61,,MIntRec2,MIntRec2-OOD,text,vim,bert-base-uncased,3.0,text_vim_MIntRec2_multi-class_0_2024-05-01-01-49-05,3e-05,0.1,0.01
57.11,56.58,58.13,51.28,55.47,50.43,50.89,56.82,44.32,94.37,49.26,55.6,,MIntRec2,MIntRec2-OOD,text,vim,bert-base-uncased,4.0,text_vim_MIntRec2_multi-class_0_2024-05-01-01-49-05,2.9999999999999997e-05,0.1,0.01
58.63,57.75,58.37,51.8,55.71,50.88,50.4,56.59,43.75,94.88,49.65,55.81,,MIntRec2,MIntRec2-OOD,text,energy,bert-base-uncased,0.0,text_energy_MIntRec2_multi-class_0_2024-05-01-01-51-11,3e-05,0.1,0.01
58.09,57.67,58.86,52.92,55.58,52.4,50.6,56.73,44.14,94.69,49.97,55.79,,MIntRec2,MIntRec2-OOD,text,energy,bert-base-uncased,1.0,text_energy_MIntRec2_multi-class_0_2024-05-01-01-51-11,2.9999999999999997e-05,0.1,0.01
56.47,56.5,56.9,51.94,52.59,51.86,50.71,56.93,44.12,94.75,49.46,55.74,,MIntRec2,MIntRec2-OOD,text,energy,bert-base-uncased,2.0,text_energy_MIntRec2_multi-class_0_2024-05-01-01-51-11,3e-05,0.1,0.01
58.68,57.95,58.24,53.23,55.95,52.22,50.6,56.78,44.2,94.69,49.26,55.66,,MIntRec2,MIntRec2-OOD,text,energy,bert-base-uncased,3.0,text_energy_MIntRec2_multi-class_0_2024-05-01-01-51-11,2.9999999999999997e-05,0.1,0.01
57.11,56.58,58.13,51.28,55.47,50.43,50.13,56.38,43.66,94.88,49.97,55.8,,MIntRec2,MIntRec2-OOD,text,energy,bert-base-uncased,4.0,text_energy_MIntRec2_multi-class_0_2024-05-01-01-51-11,3e-05,0.1,0.01
