acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_f1,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr_main,weight_decay_main,lr_bert,weight_decay_bert,lr_mmilb,weight_decay_mmilb,alpha,dropout_a,dropout_v,dropout_prj,n_layer,cpc_layers,d_vh,d_ah,d_vout,d_aout,d_prjh,scale,beta
58.44,58.01,58.79,52.76,55.64,51.9,50.77,56.89,44.04,95.07,49.65,55.9,0.5207,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,1.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-07-28-04,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,16.0,16.0,512.0,20.0,0.5
57.6,56.8,57.89,50.79,54.51,49.5,50.92,56.99,44.35,94.56,49.33,55.62,0.5028,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,2.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-07-28-04,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,16.0,16.0,512.0,20.0,0.5
58.68,57.76,58.56,52.9,55.34,53.01,50.92,56.98,44.24,94.75,49.14,55.73,0.5089,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,3.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-07-28-04,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,16.0,16.0,512.0,20.0,0.5
58.09,57.12,57.7,51.66,54.79,50.67,50.69,56.88,43.97,94.95,49.33,55.85,0.5062,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,4.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-07-28-04,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,16.0,16.0,512.0,20.0,0.5
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.22,55.43,55.75,50.11,52.34,49.62,51.18,57.08,44.44,94.56,48.94,55.68,0.5157,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,1.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-08-17-40,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
56.37,55.64,56.3,50.89,53.12,50.75,50.61,56.77,44.12,94.75,49.46,55.77,0.5213,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,2.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-08-17-40,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
57.26,57.05,57.54,51.26,52.72,51.18,50.79,56.85,44.29,94.5,49.46,55.58,0.521,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,3.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-08-17-40,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
56.47,55.93,57.15,51.87,54.74,51.31,50.68,56.92,43.94,94.95,49.46,55.85,0.4883,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,4.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-08-17-40,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.29,57.83,58.35,53.23,55.58,52.49,50.66,56.95,44.04,94.88,49.46,55.79,0.5218,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,0.0003,0.0002,2e-05,1e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
57.94,57.49,58.02,53.1,55.73,52.33,50.84,57.02,44.15,94.82,49.46,55.76,0.5235,MIntRec2,MIntRec2-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec2_multi-class_0_2024-04-27-09-03-26,0.0003,0.0002,2e-05,3e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
