acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,beta_shift,dropout_prob,warmup_proportion,lr,weight_decay,scale,aligned_method
57.65,54.79,53.67,45.86,46.58,47.04,50.46,56.78,43.73,95.14,49.46,55.93,0.5741,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.3,0.1,2e-05,0.01,,ctc
57.26,56.41,57.35,51.69,54.51,51.99,51.0,57.01,44.38,94.43,48.94,55.55,0.5859,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.1,0.1,2.9999999999999997e-05,0.01,,ctc
58.68,57.17,57.45,50.38,54.84,50.27,50.96,57.0,44.25,94.88,49.07,55.86,0.5805,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.1,0.1,1e-05,0.01,,ctc
57.65,54.85,53.91,45.53,46.74,46.32,50.64,56.9,43.94,94.63,48.94,55.69,0.5669,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.1,0.1,2e-05,0.01,,ctc
57.8,55.29,54.22,46.64,46.65,48.1,50.69,56.98,43.94,94.63,49.58,55.63,0.5769,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.5,0.1,3e-05,0.01,,ctc
57.11,55.33,54.89,48.47,50.16,49.61,50.93,57.07,44.0,95.01,49.14,55.92,0.5967,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.5,0.1,1e-05,0.01,,ctc
58.83,57.51,57.68,52.15,54.51,52.35,50.89,56.97,44.06,95.07,48.75,55.93,0.5913,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.5,0.1,2e-05,0.01,,ctc
57.16,56.17,56.34,51.29,51.08,52.73,50.84,56.94,44.05,95.01,49.2,55.87,0.5769,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.3,0.1,2.9999999999999997e-05,0.01,,ctc
58.34,57.12,56.67,50.71,51.55,51.11,50.89,56.95,44.1,94.82,48.94,55.75,0.5913,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.3,0.1,1e-05,0.01,,ctc
57.99,56.92,58.11,51.38,56.22,51.24,50.54,56.67,44.06,94.69,49.52,55.67,0.5877,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.3,0.1,2e-05,0.01,,ctc
57.01,56.2,56.69,50.82,52.56,51.18,50.94,56.98,44.37,94.56,49.01,55.66,0.5886,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.1,0.1,3e-05,0.01,,ctc
58.53,56.92,56.75,49.8,52.93,49.98,50.97,57.0,44.2,94.95,49.26,55.91,0.5787,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.1,0.1,1e-05,0.01,,ctc
57.21,55.9,55.59,49.97,50.6,50.82,50.91,57.0,44.2,94.75,48.94,55.71,0.5787,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.1,0.1,2e-05,0.01,,ctc
58.63,57.15,56.92,51.94,54.24,52.04,50.84,57.11,44.23,94.82,49.33,55.82,0.5814,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.5,0.1,2.9999999999999997e-05,0.01,,ctc
58.34,56.23,55.49,48.79,49.76,49.81,50.89,56.99,44.22,94.56,49.07,55.66,0.5805,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.5,0.1,1e-05,0.01,,ctc
57.6,55.89,57.15,49.81,57.46,50.16,50.74,56.89,44.22,94.43,49.33,55.59,0.5823,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.5,0.1,2e-05,0.01,,ctc
58.14,56.42,59.06,50.15,57.62,50.83,50.94,57.07,44.39,94.63,49.26,55.66,0.5877,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.3,0.1,3e-05,0.01,,ctc
57.89,55.42,54.4,47.7,47.78,49.12,50.75,56.95,44.06,94.88,49.01,55.8,0.5859,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.3,0.1,1e-05,0.01,,ctc
57.4,55.38,55.41,48.08,51.32,49.04,51.01,57.16,44.24,94.82,48.69,55.76,0.5805,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.3,0.1,2e-05,0.01,,ctc
56.81,56.0,56.34,50.99,53.98,50.26,50.75,56.85,44.39,94.5,49.52,55.58,0.5823,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.1,0.1,2.9999999999999997e-05,0.01,,ctc
57.89,55.74,54.61,48.1,47.95,49.38,50.69,56.87,44.01,94.88,49.14,55.87,0.5787,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.1,0.1,1e-05,0.01,,ctc
58.63,56.57,56.24,49.85,53.03,50.35,50.96,57.19,44.28,94.63,49.26,55.76,0.5778,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.1,0.1,2e-05,0.01,,ctc
58.04,55.89,55.96,49.08,51.72,50.04,50.96,57.06,44.38,94.24,49.84,55.43,0.5796,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.5,0.1,3e-05,0.01,,ctc
58.68,56.53,55.71,48.78,49.64,50.0,50.88,56.98,44.23,94.56,49.33,55.66,0.5814,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.5,0.1,1e-05,0.01,,ctc
57.55,55.72,56.0,49.11,53.94,49.69,50.7,56.87,44.16,94.56,49.26,55.71,0.5796,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.5,0.1,2e-05,0.01,,ctc
58.58,56.75,58.07,50.24,54.59,51.15,50.87,57.02,44.41,94.56,49.26,55.66,0.5904,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.3,0.1,2.9999999999999997e-05,0.01,,ctc
57.5,55.0,53.91,47.36,47.35,48.81,50.71,56.88,44.05,94.75,49.26,55.73,0.5778,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.3,0.1,1e-05,0.01,,ctc
59.12,56.68,55.53,48.7,49.21,49.49,51.02,57.1,44.33,94.5,49.26,55.58,0.5796,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.3,0.1,2e-05,0.01,,ctc
58.48,57.49,58.29,52.26,55.91,51.92,50.86,57.09,44.27,94.82,49.39,55.97,0.5823,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.1,0.1,3e-05,0.01,,ctc
57.5,55.32,54.15,47.86,47.66,49.18,50.75,56.89,44.02,94.82,49.39,56.02,0.575,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.1,0.1,1e-05,0.01,,ctc
58.19,56.48,56.4,49.63,52.69,50.15,51.02,57.23,44.3,94.75,48.94,55.8,0.5796,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,2.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.1,0.1,2e-05,0.01,,ctc
58.68,56.81,57.33,50.49,56.75,49.76,50.69,56.92,43.91,94.88,49.26,55.84,0.5823,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.5,0.1,2.9999999999999997e-05,0.01,,ctc
57.99,56.95,56.93,51.52,53.71,51.3,50.85,57.02,43.98,95.14,49.01,55.91,0.5877,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.5,0.1,1e-05,0.01,,ctc
57.99,56.39,57.97,50.62,57.41,49.93,50.77,56.99,43.95,95.14,48.82,55.92,0.5886,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.5,0.1,2e-05,0.01,,ctc
57.5,56.82,58.1,51.81,55.22,51.56,50.89,57.01,44.13,94.69,48.94,55.75,0.5787,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.3,0.1,3e-05,0.01,,ctc
58.73,57.78,57.58,52.64,54.05,52.82,51.0,57.05,44.26,94.88,48.88,55.8,0.585,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.3,0.1,1e-05,0.01,,ctc
59.17,57.2,57.03,50.05,54.19,50.06,50.82,56.98,44.28,94.75,49.26,55.71,0.5868,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.3,0.1,2e-05,0.01,,ctc
58.14,56.61,57.17,50.23,55.69,49.68,50.72,56.94,44.29,94.69,49.65,55.81,0.575,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.1,0.1,2.9999999999999997e-05,0.01,,ctc
58.29,57.21,56.86,51.15,52.1,51.44,50.83,57.12,44.02,95.07,49.33,55.99,0.585,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.1,0.1,1e-05,0.01,,ctc
57.85,56.85,58.29,50.66,55.65,50.64,50.81,57.07,44.11,95.07,49.07,55.96,0.5823,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.1,0.1,2e-05,0.01,,ctc
59.32,57.42,57.67,51.06,56.93,50.61,50.82,56.99,44.04,94.95,49.14,55.93,0.5913,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.5,0.1,3e-05,0.01,,ctc
58.04,56.84,56.93,51.77,54.51,51.93,50.96,57.08,44.11,95.01,48.94,55.86,0.5895,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.5,0.1,1e-05,0.01,,ctc
58.83,57.82,58.48,52.67,55.48,52.92,50.64,56.86,43.85,95.14,49.07,55.95,0.5823,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.5,0.1,2e-05,0.01,,ctc
58.24,56.35,56.08,49.95,53.86,50.47,50.73,56.94,44.03,94.56,49.33,55.8,0.5778,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.3,0.1,2.9999999999999997e-05,0.01,,ctc
58.24,56.86,56.3,50.52,51.58,50.98,50.76,56.99,44.02,94.95,49.14,55.85,0.585,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.3,0.1,1e-05,0.01,,ctc
59.17,57.05,57.22,49.92,55.76,49.93,50.8,56.97,44.21,94.75,49.39,55.73,0.5832,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.3,0.1,2e-05,0.01,,ctc
57.6,56.04,56.06,49.29,52.94,49.06,50.63,56.93,44.23,94.63,49.46,55.63,0.5886,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.1,0.1,3e-05,0.01,,ctc
58.39,56.57,55.89,49.23,51.04,50.04,50.77,57.05,44.14,95.07,49.52,55.91,0.5796,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.1,0.1,1e-05,0.01,,ctc
59.37,57.39,57.15,49.82,53.56,49.59,50.61,56.86,44.15,94.5,49.33,55.7,0.5841,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,3.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.1,0.1,2e-05,0.01,,ctc
58.04,55.96,56.48,48.69,52.71,49.39,50.84,57.03,43.96,94.88,49.01,55.78,0.5805,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,4.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.5,0.1,2.9999999999999997e-05,0.01,,ctc
58.68,56.1,55.01,48.11,48.45,49.8,50.85,56.95,44.14,94.63,49.33,55.65,0.5877,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,4.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.5,0.1,1e-05,0.01,,ctc
57.26,55.03,54.95,47.35,49.76,49.53,50.93,57.01,44.29,94.43,49.46,55.58,0.5832,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,4.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.5,0.1,2e-05,0.01,,ctc
56.71,55.85,57.21,50.19,54.07,50.5,51.17,57.16,44.37,94.82,48.75,55.74,0.5886,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,4.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.3,0.1,3e-05,0.01,,ctc
58.53,57.04,56.69,50.28,53.01,50.21,50.93,57.07,44.24,94.82,49.46,55.78,0.5823,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,4.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.3,0.1,1e-05,0.01,,ctc
57.89,56.52,56.41,50.31,52.29,50.44,51.07,57.15,44.44,94.43,48.88,55.67,0.5877,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,4.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.3,0.1,2e-05,0.01,,ctc
58.58,56.74,56.67,49.27,51.06,49.6,50.91,57.04,44.18,94.69,49.26,55.73,0.5823,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,4.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.1,0.1,2.9999999999999997e-05,0.01,,ctc
58.68,56.38,55.54,47.89,48.99,48.73,50.91,57.01,44.13,94.63,49.26,55.68,0.5832,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,4.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.1,0.1,1e-05,0.01,,ctc
57.65,56.11,55.94,49.28,50.76,50.21,51.02,57.1,44.19,94.95,49.2,55.82,0.5805,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,4.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.05,0.1,0.1,2e-05,0.01,,ctc
58.78,56.71,58.07,49.82,55.65,50.26,50.8,57.01,43.92,95.01,49.07,55.88,0.5787,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,4.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.5,0.1,3e-05,0.01,,ctc
58.44,55.77,54.44,47.66,47.77,49.47,50.86,56.98,44.11,94.63,49.52,55.8,0.5868,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,4.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.5,0.1,1e-05,0.01,,ctc
56.67,55.21,56.31,49.14,53.13,49.94,50.92,57.05,44.26,94.82,49.39,55.92,0.5814,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,4.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.5,0.1,2e-05,0.01,,ctc
58.83,58.11,58.36,52.49,54.15,51.94,51.04,57.09,44.25,94.56,48.88,55.66,0.5904,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,4.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.3,0.1,2.9999999999999997e-05,0.01,,ctc
57.94,55.94,56.01,48.29,52.86,49.39,51.05,57.07,44.32,94.95,49.07,55.85,0.5832,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,4.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.3,0.1,1e-05,0.01,,ctc
57.16,55.52,55.66,48.93,51.25,50.21,50.97,57.05,44.14,95.01,49.2,55.85,0.5796,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,4.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.3,0.1,2e-05,0.01,,ctc
58.98,57.18,57.02,49.5,51.36,49.68,50.93,57.08,44.15,94.82,49.07,55.88,0.585,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,4.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.1,0.1,3e-05,0.01,,ctc
58.14,56.36,56.68,48.96,53.38,49.9,50.82,56.96,44.11,94.88,49.39,55.78,0.5805,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,4.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.1,0.1,1e-05,0.01,,ctc
57.7,56.18,55.93,49.36,50.76,50.22,51.07,57.1,44.31,94.63,49.14,55.66,0.5859,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,4.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-08-06-34,0.006,0.1,0.1,2e-05,0.01,,ctc
....,,,,,,,,,,,,,,,,,,,,,,,,,,
57.3,55.79,55.65,49.17,51.83,49.14,50.88,56.94,44.12,94.95,49.01,55.94,0.5759,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-27-03-00-03,0.01,0.2,0.1,2.9999999999999997e-05,0.01,,ctc
58.39,56.38,56.0,49.24,52.81,49.67,51.14,57.13,44.26,94.82,48.88,55.76,0.5895,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-27-03-00-03,0.01,0.2,0.1,1e-05,0.01,,ctc
57.7,56.69,57.74,51.46,55.94,51.57,51.11,57.09,44.47,94.63,48.82,55.69,0.585,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-27-03-00-03,0.01,0.2,0.1,2e-05,0.01,,ctc
..,,,,,,,,,,,,,,,,,,,,,,,,,,
57.8,56.84,58.39,51.07,58.28,50.58,51.05,57.13,44.1,95.07,49.01,55.94,0.5832,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-27-03-00-03,0.01,0.4,0.1,3e-05,0.01,,ctc
58.53,56.91,57.67,49.94,55.13,50.41,50.91,56.95,44.26,95.01,48.82,55.84,0.5787,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-27-03-00-03,0.01,0.4,0.1,1e-05,0.01,,ctc
58.09,56.33,56.66,48.91,54.92,49.03,51.1,57.13,44.08,94.95,48.88,55.79,0.5877,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-27-03-00-03,0.01,0.4,0.1,2e-05,0.01,,ctc
56.91,54.99,55.0,48.45,50.42,48.97,50.78,57.01,43.89,94.88,49.52,55.81,0.5877,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-27-03-00-03,0.01,0.6,0.1,2.9999999999999997e-05,0.01,,ctc
58.78,56.66,56.46,49.52,53.22,50.73,50.93,57.0,44.24,94.63,48.88,55.62,0.5913,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-27-03-00-03,0.01,0.6,0.1,1e-05,0.01,,ctc
57.21,54.8,54.78,46.71,50.45,47.59,50.72,56.97,43.87,95.01,49.26,55.95,0.5787,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-27-03-00-03,0.01,0.6,0.1,2e-05,0.01,,ctc
56.62,55.92,56.76,50.84,52.97,50.93,50.86,56.97,44.25,94.63,49.2,55.69,0.5895,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-27-03-00-03,0.004,0.2,0.1,3e-05,0.01,,ctc
57.89,55.34,54.7,46.87,48.19,48.16,51.18,57.18,44.33,94.88,48.75,55.87,0.5877,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-27-03-00-03,0.004,0.2,0.1,1e-05,0.01,,ctc
57.35,55.56,56.02,47.27,51.3,48.01,50.99,57.06,44.09,95.07,49.07,55.87,0.575,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-27-03-00-03,0.004,0.2,0.1,2e-05,0.01,,ctc
58.19,56.32,57.32,49.38,54.98,49.65,51.14,57.11,44.36,94.75,48.82,55.69,0.5823,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-27-03-00-03,0.004,0.4,0.1,2.9999999999999997e-05,0.01,,ctc
58.53,57.17,57.87,51.29,56.57,51.15,51.08,57.01,44.43,94.69,48.5,55.77,0.585,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-27-03-00-03,0.004,0.4,0.1,1e-05,0.01,,ctc
58.24,56.98,56.88,51.45,54.61,51.15,50.96,57.01,44.18,94.75,48.75,55.79,0.5832,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-27-03-00-03,0.004,0.4,0.1,2e-05,0.01,,ctc
57.06,55.27,55.21,48.84,50.65,49.25,50.68,56.96,43.8,95.01,49.39,55.87,0.5913,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-27-03-00-03,0.004,0.6,0.1,3e-05,0.01,,ctc
58.58,56.52,56.19,49.26,52.4,50.45,50.9,56.99,44.21,94.63,49.01,55.67,0.5895,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-27-03-00-03,0.004,0.6,0.1,1e-05,0.01,,ctc
57.26,54.86,54.68,46.74,50.22,47.63,50.71,56.97,43.83,95.01,49.26,55.87,0.5796,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-27-03-00-03,0.004,0.6,0.1,2e-05,0.01,,ctc
57.3,55.95,56.14,49.5,53.3,49.36,50.82,56.95,44.14,94.56,49.33,55.65,0.5805,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-27-03-00-03,0.01,0.2,0.1,2.9999999999999997e-05,0.01,,ctc
57.21,54.87,54.03,46.42,46.83,47.29,50.95,57.09,43.98,94.88,48.94,55.85,0.5759,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-27-03-00-03,0.01,0.2,0.1,1e-05,0.01,,ctc
57.01,54.25,53.22,45.26,46.14,46.24,50.59,56.89,43.88,94.88,49.39,55.8,0.5823,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,1.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-27-03-00-03,0.01,0.2,0.1,2e-05,0.01,,ctc
