acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,beta_shift,dropout_prob,warmup_proportion,lr,weight_decay,scale,aligned_method
57.94,56.92,57.88,50.92,56.5,49.92,50.89,56.96,44.14,94.75,49.2,55.76,0.5841,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.006,0.3,0.1,2.9999999999999997e-05,0.01,,ctc
58.39,56.31,55.87,48.96,52.26,49.53,51.04,57.06,44.22,94.88,48.75,55.9,0.5895,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.006,0.3,0.1,1e-05,0.01,,ctc
57.85,56.73,57.57,51.16,55.55,50.56,50.83,56.96,44.2,94.5,49.14,55.58,0.5895,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.006,0.3,0.1,2e-05,0.01,,ctc
58.14,56.76,57.83,50.31,56.44,49.22,51.07,57.07,44.39,94.43,49.2,55.73,0.5805,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.006,0.1,0.1,3e-05,0.01,,ctc
57.35,56.35,56.52,50.91,54.01,50.74,51.17,57.1,44.59,94.24,49.14,55.58,0.5877,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.006,0.1,0.1,1e-05,0.01,,ctc
58.04,57.05,57.62,51.26,53.89,51.33,51.29,57.19,44.69,94.18,49.14,55.51,0.5732,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.006,0.1,0.1,2e-05,0.01,,ctc
57.75,56.01,56.17,49.33,52.08,49.72,50.95,56.96,44.19,95.07,49.01,55.87,0.5823,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.003,0.3,0.1,2.9999999999999997e-05,0.01,,ctc
58.73,57.04,58.87,50.32,58.87,51.04,51.04,57.04,44.23,94.95,49.01,55.88,0.5859,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.003,0.3,0.1,1e-05,0.01,,ctc
57.01,54.77,54.75,47.3,50.06,48.18,51.03,57.04,44.3,94.82,48.88,55.79,0.5823,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.003,0.3,0.1,2e-05,0.01,,ctc
59.03,57.55,58.48,51.14,56.89,50.37,50.87,56.94,44.2,94.95,48.75,55.83,0.5904,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.003,0.1,0.1,3e-05,0.01,,ctc
58.09,56.9,58.2,51.7,58.76,51.48,51.09,57.07,44.35,94.63,48.94,55.65,0.5832,MIntRec2,MIntRec2-OOD,mag_bert,ma,bert-base-uncased,0.0,mag_bert_ma_MIntRec2_multi-class_0_2024-04-26-01-48-15,0.003,0.1,0.1,1e-05,0.01,,ctc
