acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,aligned_method,multiple_ood,select_number_min,select_number_max,mlp_hidden_size,mlp_dropout,alpha,scale
62.19,59.19,60.26,47.82,54.4,46.99,73.86,86.61,51.25,71.71,31.54,55.2,0.619,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,1e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
64.8,63.66,64.34,55.39,60.4,54.69,72.77,86.44,51.4,72.52,32.36,55.83,0.6222,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,2e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,3.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
64.16,61.47,62.98,52.94,55.49,53.79,70.93,86.36,47.32,77.07,34.47,59.24,0.6105,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,2e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,5.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
64.75,63.08,63.45,52.82,57.34,53.32,70.57,84.83,49.21,75.61,34.31,58.15,0.6158,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,2e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,6.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
64.43,62.28,62.64,52.12,55.34,51.62,70.04,84.73,48.53,74.96,34.15,57.67,0.6307,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,2e-05,0.1,0.01,768.0,6.0,0.3,0.1,768.0,4.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
64.27,63.14,63.97,54.78,58.88,54.42,70.6,85.49,48.13,76.42,34.8,58.76,0.619,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,2e-05,0.1,0.01,768.0,4.0,0.3,0.1,768.0,3.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
63.47,60.06,62.12,51.8,58.17,50.39,72.44,87.76,51.65,69.27,33.5,53.38,0.6169,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MELD-DA_multi-class_0_2024-04-22-13-57-43,2e-05,0.1,0.01,768.0,4.0,0.3,0.1,768.0,5.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.37,62.31,62.78,52.12,55.47,51.47,76.09,87.73,53.94,72.03,28.46,55.47,0.6318,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-02-48-04,1e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,3.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
64.96,63.6,64.62,57.08,67.07,54.51,73.01,86.14,51.16,72.2,31.38,55.58,0.6318,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,2.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-02-48-04,1e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,3.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
63.84,61.74,61.8,51.02,53.96,50.76,76.82,88.01,54.23,68.78,28.62,53.0,0.6169,MELD-DA,MELD-DA-OOD,msz,ma,bert-base-uncased,3.0,msz_ma_MELD-DA_multi-class_0_2024-04-23-02-48-04,1e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,3.0,900.0,ctc,1.0,2.0,3.0,256.0,0.3,4.0,16.0
