acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_f1,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr_main,weight_decay_main,lr_bert,weight_decay_bert,lr_mmilb,weight_decay_mmilb,alpha,dropout_a,dropout_v,dropout_prj,n_layer,cpc_layers,d_vh,d_ah,d_vout,d_aout,d_prjh,scale,beta
72.58,72.47,73.08,68.41,68.89,68.8,76.63,76.01,74.36,75.56,29.56,40.05,0.7002,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,32.0,8.0,16.0,512.0,20.0,0.5
70.34,70.38,71.41,67.74,69.86,67.33,77.68,77.3,73.71,80.44,26.67,42.48,0.7064,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,32.0,32.0,8.0,8.0,512.0,20.0,0.5
73.48,73.42,73.56,71.55,72.28,71.15,76.64,75.68,75.5,75.11,30.44,39.83,0.7027,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.001,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,16.0,16.0,16.0,512.0,20.0,0.5
70.56,69.62,70.17,65.05,67.57,64.64,77.76,74.75,79.08,64.44,28.67,34.53,0.696,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.001,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,16.0,16.0,8.0,512.0,20.0,0.5
71.69,71.22,72.42,68.17,70.68,67.98,77.43,76.06,77.33,73.33,29.78,38.94,0.6898,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.001,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,16.0,8.0,16.0,512.0,20.0,0.5
70.34,70.52,71.79,66.45,67.01,67.17,74.2,73.98,71.07,84.67,32.67,44.58,0.7061,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.001,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,16.0,8.0,8.0,512.0,20.0,0.5
71.24,70.95,71.21,67.5,67.54,68.1,76.34,75.7,76.36,72.67,31.56,38.62,0.7211,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.001,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,16.0,16.0,512.0,20.0,0.5
71.01,70.09,70.4,65.02,66.28,65.43,76.8,76.19,74.51,73.78,28.67,39.06,0.6871,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.001,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,16.0,8.0,512.0,20.0,0.5
72.13,72.18,73.07,70.09,70.72,70.17,75.26,75.16,72.66,80.44,30.89,42.26,0.6917,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.001,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,16.0,512.0,20.0,0.5
70.79,71.3,72.99,68.71,69.57,69.28,76.15,75.24,74.14,78.44,29.33,41.49,0.6989,MIntRec,MIntRec-OOD,mmim,ma,bert-base-uncased,0.0,mmim_ma_MIntRec_multi-class_0_2024-04-27-03-28-29,0.0002,0.0003,4e-05,5e-05,0.001,0.0001,0.1,0.1,0.1,0.1,1.0,1.0,16.0,32.0,8.0,8.0,512.0,20.0,0.5
