acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,aligned_method,sampler,multiple_ood,select_number_min,select_number_max,alpha,mlp_hidden_size,mlp_dropout,scale
58.39,57.22,58.89,51.2,57.57,50.52,71.56,79.67,56.97,84.38,34.17,54.95,0.5868,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-05-18-06-06-41,2e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,7.0,768.0,ctc,dir,1.0,2.0,3.0,2.0,256.0,0.3,8.0
57.89,55.77,56.43,48.07,49.93,48.53,69.19,78.12,54.39,86.22,35.92,56.11,0.5769,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-05-18-06-06-41,2e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,7.0,768.0,ctc,dir,1.0,2.0,3.0,2.0,256.0,0.3,4.0
57.85,56.18,58.07,49.45,55.96,49.43,70.75,79.28,56.92,82.96,35.51,54.06,0.5949,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-05-18-07-01-48,8e-06,0.1,0.01,768.0,6.0,0.3,0.3,768.0,7.0,768.0,ctc,dir,1.0,2.0,3.0,2.0,256.0,0.3,8.0
59.27,58.27,60.13,53.29,57.13,53.15,71.95,80.31,59.95,78.86,34.42,51.48,0.5904,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-05-18-07-28-38,8e-06,0.1,0.01,768.0,6.0,0.3,0.3,768.0,2.0,768.0,ctc,dir,1.0,2.0,3.0,2.0,256.0,0.3,8.0
3.34,0.22,0.11,0.22,0.11,3.33,71.25,79.77,58.95,80.53,34.67,52.51,0.5841,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-05-18-07-28-38,8e-06,0.1,0.01,768.0,6.0,0.3,0.3,768.0,2.0,768.0,ctc,dir,1.0,2.0,3.0,2.0,256.0,0.3,4.0
59.86,58.33,59.7,52.2,57.52,52.52,70.86,79.57,57.56,81.37,35.67,53.06,0.594,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-05-18-07-28-38,8e-06,0.1,0.01,768.0,6.0,0.3,0.3,768.0,2.0,768.0,ctc,dir,1.0,2.0,3.0,3.0,256.0,0.3,8.0
3.34,0.22,0.11,0.22,0.11,3.33,72.0,80.47,59.39,81.62,34.75,53.21,0.5841,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-05-18-07-28-38,8e-06,0.1,0.01,768.0,6.0,0.3,0.3,768.0,2.0,768.0,ctc,dir,1.0,2.0,3.0,3.0,256.0,0.3,4.0
59.71,58.75,59.95,53.42,57.66,53.74,71.86,80.31,57.75,81.7,33.67,53.25,0.5995,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-05-18-07-28-38,8e-06,0.1,0.01,768.0,6.0,0.3,0.3,768.0,4.0,768.0,ctc,dir,1.0,2.0,3.0,2.0,256.0,0.3,8.0
59.08,57.77,57.21,50.81,50.95,51.63,71.48,79.85,57.84,82.54,34.17,53.77,0.594,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-05-18-07-28-38,8e-06,0.1,0.01,768.0,6.0,0.3,0.3,768.0,4.0,768.0,ctc,dir,1.0,2.0,3.0,2.0,256.0,0.3,4.0
59.47,58.41,59.07,52.42,56.02,52.12,71.32,80.01,57.67,81.54,34.59,53.16,0.5995,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-05-18-07-28-38,8e-06,0.1,0.01,768.0,6.0,0.3,0.3,768.0,4.0,768.0,ctc,dir,1.0,2.0,3.0,3.0,256.0,0.3,8.0
59.12,57.94,58.05,51.7,53.72,52.45,72.01,80.25,57.83,82.62,33.25,53.85,0.5922,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-05-18-07-28-38,8e-06,0.1,0.01,768.0,6.0,0.3,0.3,768.0,4.0,768.0,ctc,dir,1.0,2.0,3.0,3.0,256.0,0.3,4.0
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.6,59.24,60.35,52.59,58.77,52.18,72.16,80.25,59.12,80.28,33.58,52.35,0.6031,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-05-18-07-28-38,8e-06,0.1,0.01,768.0,6.0,0.3,0.3,768.0,3.0,768.0,ctc,dir,1.0,2.0,3.0,2.0,256.0,0.3,8.0
59.12,58.06,58.02,52.14,53.05,52.76,72.97,81.07,60.14,79.11,33.42,51.64,0.604,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-05-18-10-51-21,8e-06,0.1,0.01,768.0,6.0,0.3,0.3,768.0,3.0,768.0,ctc,dir,1.0,2.0,3.0,2.0,256.0,0.3,8.0
60.01,59.39,59.43,54.19,55.55,54.09,72.42,80.56,59.07,80.45,34.0,52.46,0.5931,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,2.0,msz_ma_MIntRec2_multi-class_0_2024-05-18-10-51-21,8e-06,0.1,0.01,768.0,6.0,0.3,0.3,768.0,3.0,768.0,ctc,dir,1.0,2.0,3.0,2.0,256.0,0.3,8.0
59.17,57.76,57.48,51.88,54.6,51.52,71.12,79.63,57.6,81.45,34.92,53.09,0.5995,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,3.0,msz_ma_MIntRec2_multi-class_0_2024-05-18-10-51-21,8e-06,0.1,0.01,768.0,6.0,0.3,0.3,768.0,3.0,768.0,ctc,dir,1.0,2.0,3.0,2.0,256.0,0.3,8.0
58.98,57.91,58.09,51.84,54.07,51.37,72.63,80.72,59.73,79.28,34.09,51.72,0.613,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,4.0,msz_ma_MIntRec2_multi-class_0_2024-05-18-10-51-21,8e-06,0.1,0.01,768.0,6.0,0.3,0.3,768.0,3.0,768.0,ctc,dir,1.0,2.0,3.0,2.0,256.0,0.3,8.0
...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.48,56.53,56.24,49.16,50.6,49.99,73.48,81.05,60.28,80.37,32.16,52.39,0.594,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1.0,msz_ma_MIntRec2_multi-class_0_2024-05-18-12-36-09,1e-05,0.1,0.1,768.0,8.0,0.3,0.3,768.0,6.0,768.0,ctc,dir,1.0,2.0,3.0,3.0,256.0,0.3,6.0
...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.55,56.89,57.7,51.11,53.38,51.7,71.61,80.3,56.45,84.21,33.5,54.84,0.585,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-05-18-13-06-45,2e-05,0.1,0.01,768.0,6.0,0.3,0.3,768.0,6.0,768.0,ctc,dir,1.0,2.0,3.0,3.0,256.0,0.3,6.0
