acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,aligned_method,multiple_ood,select_number_min,select_number_max,mlp_hidden_size,mlp_dropout,alpha,scale,eval_acc,sampler
57.99,56.38,58.58,49.87,56.95,49.14,51.81,57.81,45.03,94.37,48.88,55.64,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,3e-05,0.1,0.1,768.0,8.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5714,
56.67,55.26,59.99,49.25,56.23,51.09,50.86,57.02,44.5,94.31,49.46,55.45,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,2.9999999999999997e-05,0.1,0.1,768.0,8.0,0.3,0.1,768.0,5.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5678,
58.34,57.05,58.06,51.98,56.31,51.82,51.64,57.74,44.87,94.37,48.94,55.54,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,3e-05,0.1,0.1,768.0,8.0,0.3,0.1,768.0,6.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5769,
56.27,53.69,57.73,46.62,55.44,47.99,51.15,57.13,44.49,94.95,49.33,55.78,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,2.9999999999999997e-05,0.1,0.1,768.0,8.0,0.3,0.1,768.0,6.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5624,
57.55,55.46,58.51,48.69,56.68,48.97,51.38,57.53,44.54,94.63,49.07,55.63,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,3e-05,0.1,0.1,768.0,8.0,0.3,0.1,768.0,7.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5769,
57.26,56.08,58.95,50.15,57.55,50.55,50.78,56.98,44.24,94.5,50.03,55.7,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,2.9999999999999997e-05,0.1,0.1,768.0,8.0,0.3,0.1,768.0,7.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5805,
56.62,55.31,57.43,49.97,53.27,50.65,52.32,58.44,45.03,94.69,48.11,55.78,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,3e-05,0.1,0.1,768.0,8.0,0.3,0.1,768.0,8.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5678,
55.68,55.41,56.52,50.43,52.12,50.08,51.0,57.23,44.36,94.5,49.07,55.61,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,2.9999999999999997e-05,0.1,0.1,768.0,8.0,0.3,0.1,768.0,8.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5660000000000001,
56.52,55.45,56.6,50.61,55.38,50.26,52.03,57.99,45.08,94.18,48.3,55.43,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,3e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5723,
58.09,56.29,59.74,49.82,55.99,50.72,50.93,57.07,44.37,94.56,49.01,55.6,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,2.9999999999999997e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,4.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5814,
58.68,56.45,59.02,49.66,58.67,49.32,51.74,57.76,45.0,94.43,48.69,55.67,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,3e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,5.0,768.0,ctc,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5759,
56.86,55.29,59.81,49.41,56.05,51.52,50.73,56.93,44.39,94.5,49.39,55.64,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,0.0,msz_ma_MIntRec2_multi-class_0_2024-04-14-10-26-24,2.9999999999999997e-05,0.1,0.1,768.0,4.0,0.3,0.1,768.0,5.0,768.0,conv1d,1.0,2.0,3.0,256.0,0.3,3.0,16.0,0.5696,
