acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,dst_feature_dims,nheads,n_levels,attn_dropout,attn_dropout_v,attn_dropout_a,relu_dropout,embed_dropout,res_dropout,output_dropout,text_dropout,grad_clip,conv1d_kernel_size_l,conv1d_kernel_size_v,conv1d_kernel_size_a,lr,scale
72.13,71.67,72.62,68.96,72.71,67.92,74.2,72.44,70.97,81.56,30.22,43.04,MIntRec,MIntRec-OOD,mult,energy,bert-base-uncased,2,mult_energy_MIntRec_multi-class_0_2024-05-19-13-21-54,80,8,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,0.5,5,1,1,3e-05,20
72.36,72.09,72.54,68.31,69.51,67.98,76.08,76.52,73.66,76.0,30.67,40.16,MIntRec,MIntRec-OOD,mult,energy,bert-base-uncased,3,mult_energy_MIntRec_multi-class_0_2024-05-19-13-21-54,80,8,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,0.5,5,1,1,2.9999999999999997e-05,20
71.24,70.93,71.24,67.04,68.04,66.87,77.5,75.27,75.97,74.89,28.89,39.72,MIntRec,MIntRec-OOD,mult,energy,bert-base-uncased,4,mult_energy_MIntRec_multi-class_0_2024-05-19-13-21-54,80,8,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,0.5,5,1,1,3e-05,20
71.91,71.57,72.48,68.48,70.24,68.69,75.38,74.15,73.5,78.89,31.78,41.59,MIntRec,MIntRec-OOD,mult,maxlogit,bert-base-uncased,0,mult_maxlogit_MIntRec_multi-class_0_2024-05-19-13-23-33,80,8,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,0.5,5,1,1,2.9999999999999997e-05,20
73.26,73.03,72.99,69.19,69.61,69.04,74.74,74.85,71.3,80.89,30.89,42.7,MIntRec,MIntRec-OOD,mult,maxlogit,bert-base-uncased,1,mult_maxlogit_MIntRec_multi-class_0_2024-05-19-13-23-33,80,8,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,0.5,5,1,1,3e-05,20
72.13,71.67,72.62,68.96,72.71,67.92,74.12,72.41,71.42,79.78,31.11,42.15,MIntRec,MIntRec-OOD,mult,maxlogit,bert-base-uncased,2,mult_maxlogit_MIntRec_multi-class_0_2024-05-19-13-23-33,80,8,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,0.5,5,1,1,2.9999999999999997e-05,20
72.36,72.09,72.54,68.31,69.51,67.98,75.64,76.22,73.01,81.33,30.89,42.93,MIntRec,MIntRec-OOD,mult,maxlogit,bert-base-uncased,3,mult_maxlogit_MIntRec_multi-class_0_2024-05-19-13-23-33,80,8,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,0.5,5,1,1,3e-05,20
71.24,70.93,71.24,67.04,68.04,66.87,77.08,75.07,75.15,76.67,29.33,40.6,MIntRec,MIntRec-OOD,mult,maxlogit,bert-base-uncased,4,mult_maxlogit_MIntRec_multi-class_0_2024-05-19-13-23-33,80,8,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,0.5,5,1,1,2.9999999999999997e-05,20
71.91,71.57,72.48,68.48,70.24,68.69,73.9,74.34,71.74,77.56,33.56,41.05,MIntRec,MIntRec-OOD,mult,msp,bert-base-uncased,0,mult_msp_MIntRec_multi-class_0_2024-05-19-13-25-12,80,8,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,0.5,5,1,1,3e-05,20
73.26,73.03,72.99,69.19,69.61,69.04,73.77,75.19,70.18,84.89,31.56,44.46,MIntRec,MIntRec-OOD,mult,msp,bert-base-uncased,1,mult_msp_MIntRec_multi-class_0_2024-05-19-13-25-12,80,8,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,0.5,5,1,1,2.9999999999999997e-05,20
72.13,71.67,72.62,68.96,72.71,67.92,73.6,73.89,70.89,79.78,32.22,42.15,MIntRec,MIntRec-OOD,mult,msp,bert-base-uncased,2,mult_msp_MIntRec_multi-class_0_2024-05-19-13-25-12,80,8,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,0.5,5,1,1,3e-05,20
72.36,72.09,72.54,68.31,69.51,67.98,73.89,75.8,71.08,82.89,33.11,43.7,MIntRec,MIntRec-OOD,mult,msp,bert-base-uncased,3,mult_msp_MIntRec_multi-class_0_2024-05-19-13-25-12,80,8,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,0.5,5,1,1,2.9999999999999997e-05,20
71.24,70.93,71.24,67.04,68.04,66.87,75.19,73.95,72.52,80.67,30.44,42.48,MIntRec,MIntRec-OOD,mult,msp,bert-base-uncased,4,mult_msp_MIntRec_multi-class_0_2024-05-19-13-25-12,80,8,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,0.5,5,1,1,3e-05,20
