acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,aligned_method,sampler,multiple_ood,select_number_min,select_number_max,alpha,mlp_hidden_size,mlp_dropout,scale
71.91,71.91,72.51,68.76,70.14,68.04,76.96,75.99,76.09,70.44,30.67,37.51,MIntRec,MIntRec-OOD,msz,energy,bert-base-uncased,2,msz_energy_MIntRec_multi-class_0_2024-05-19-14-02-21,2e-05,0.1,0.1,768,4,0.3,0.1,768,4,900,ctc,dir,1,2,3,4,256,0.3,16
73.26,73.02,73.15,70.45,71.52,69.83,76.34,74.68,75.29,76.67,30.22,40.6,MIntRec,MIntRec-OOD,msz,energy,bert-base-uncased,3,msz_energy_MIntRec_multi-class_0_2024-05-19-14-02-21,2e-05,0.1,0.1,768,4,0.3,0.1,768,4,900,ctc,dir,1,2,3,4,256,0.3,16
72.36,72.27,72.92,69.48,71.36,68.53,78.28,78.08,75.49,80.22,28.89,42.37,MIntRec,MIntRec-OOD,msz,energy,bert-base-uncased,4,msz_energy_MIntRec_multi-class_0_2024-05-19-14-02-21,2e-05,0.1,0.1,768,4,0.3,0.1,768,4,900,ctc,dir,1,2,3,4,256,0.3,16
74.16,74.0,74.63,71.66,73.24,70.96,76.46,74.73,74.69,74.0,29.78,39.28,MIntRec,MIntRec-OOD,msz,maxlogit,bert-base-uncased,0,msz_maxlogit_MIntRec_multi-class_0_2024-05-19-14-03-40,2e-05,0.1,0.1,768,4,0.3,0.1,768,4,900,ctc,dir,1,2,3,4,256,0.3,16
74.61,73.94,74.15,70.48,71.84,70.46,77.12,76.12,76.5,74.0,29.78,39.17,MIntRec,MIntRec-OOD,msz,maxlogit,bert-base-uncased,1,msz_maxlogit_MIntRec_multi-class_0_2024-05-19-14-03-40,2e-05,0.1,0.1,768,4,0.3,0.1,768,4,900,ctc,dir,1,2,3,4,256,0.3,16
71.91,71.91,72.51,68.76,70.14,68.04,76.63,75.82,75.76,74.0,30.67,39.04,MIntRec,MIntRec-OOD,msz,maxlogit,bert-base-uncased,2,msz_maxlogit_MIntRec_multi-class_0_2024-05-19-14-03-40,2e-05,0.1,0.1,768,4,0.3,0.1,768,4,900,ctc,dir,1,2,3,4,256,0.3,16
73.26,73.02,73.15,70.45,71.52,69.83,75.94,74.46,74.8,74.22,30.22,39.39,MIntRec,MIntRec-OOD,msz,maxlogit,bert-base-uncased,3,msz_maxlogit_MIntRec_multi-class_0_2024-05-19-14-03-40,2e-05,0.1,0.1,768,4,0.3,0.1,768,4,900,ctc,dir,1,2,3,4,256,0.3,16
72.36,72.27,72.92,69.48,71.36,68.53,77.93,77.88,75.37,77.11,28.44,40.83,MIntRec,MIntRec-OOD,msz,maxlogit,bert-base-uncased,4,msz_maxlogit_MIntRec_multi-class_0_2024-05-19-14-03-40,2e-05,0.1,0.1,768,4,0.3,0.1,768,4,900,ctc,dir,1,2,3,4,256,0.3,16
74.16,74.0,74.63,71.66,73.24,70.96,74.2,74.12,71.57,80.44,32.0,42.37,MIntRec,MIntRec-OOD,msz,msp,bert-base-uncased,0,msz_msp_MIntRec_multi-class_0_2024-05-19-14-05-02,2e-05,0.1,0.1,768,4,0.3,0.1,768,4,900,ctc,dir,1,2,3,4,256,0.3,16
74.61,73.94,74.15,70.48,71.84,70.46,74.78,75.46,73.5,78.22,32.0,41.38,MIntRec,MIntRec-OOD,msz,msp,bert-base-uncased,1,msz_msp_MIntRec_multi-class_0_2024-05-19-14-05-02,2e-05,0.1,0.1,768,4,0.3,0.1,768,4,900,ctc,dir,1,2,3,4,256,0.3,16
71.91,71.91,72.51,68.76,70.14,68.04,75.04,75.69,72.68,80.22,31.33,42.37,MIntRec,MIntRec-OOD,msz,msp,bert-base-uncased,2,msz_msp_MIntRec_multi-class_0_2024-05-19-14-05-02,2e-05,0.1,0.1,768,4,0.3,0.1,768,4,900,ctc,dir,1,2,3,4,256,0.3,16
73.26,73.02,73.15,70.45,71.52,69.83,74.06,73.91,71.78,81.78,31.78,43.03,MIntRec,MIntRec-OOD,msz,msp,bert-base-uncased,3,msz_msp_MIntRec_multi-class_0_2024-05-19-14-05-02,2e-05,0.1,0.1,768,4,0.3,0.1,768,4,900,ctc,dir,1,2,3,4,256,0.3,16
72.36,72.27,72.92,69.48,71.36,68.53,75.34,76.27,72.78,82.67,31.11,43.48,MIntRec,MIntRec-OOD,msz,msp,bert-base-uncased,4,msz_msp_MIntRec_multi-class_0_2024-05-19-14-05-02,2e-05,0.1,0.1,768,4,0.3,0.1,768,4,900,ctc,dir,1,2,3,4,256,0.3,16
