acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,beta_shift,dropout_prob,warmup_proportion,lr,aligned_method,weight_decay,scale
72.13,72.21,72.89,68.5,68.3,69.39,75.75,73.7,75.27,74.67,31.78,39.61,MIntRec,MIntRec-OOD,mag_bert,energy,bert-base-uncased,3,mag_bert_energy_MIntRec_multi-class_0_2024-05-19-13-33-57,0.006,0.4,0.1,2e-05,ctc,0.03,32
73.93,73.24,73.24,68.76,69.76,68.91,75.57,75.02,73.33,74.89,31.11,39.72,MIntRec,MIntRec-OOD,mag_bert,energy,bert-base-uncased,4,mag_bert_energy_MIntRec_multi-class_0_2024-05-19-13-33-57,0.006,0.4,0.1,2e-05,ctc,0.03,32
73.48,72.99,73.17,69.33,70.0,69.51,72.23,71.12,70.79,79.33,34.22,41.93,MIntRec,MIntRec-OOD,mag_bert,maxlogit,bert-base-uncased,0,mag_bert_maxlogit_MIntRec_multi-class_0_2024-05-19-13-34-54,0.006,0.4,0.1,2e-05,ctc,0.03,32
71.01,69.49,69.1,64.95,65.59,65.8,73.76,70.85,74.26,76.44,32.0,40.04,MIntRec,MIntRec-OOD,mag_bert,maxlogit,bert-base-uncased,1,mag_bert_maxlogit_MIntRec_multi-class_0_2024-05-19-13-34-54,0.006,0.4,0.1,2e-05,ctc,0.03,32
70.11,69.44,69.34,65.75,66.33,66.17,74.7,72.28,72.9,78.67,30.0,41.48,MIntRec,MIntRec-OOD,mag_bert,maxlogit,bert-base-uncased,2,mag_bert_maxlogit_MIntRec_multi-class_0_2024-05-19-13-34-54,0.006,0.4,0.1,2e-05,ctc,0.03,32
72.13,72.21,72.89,68.5,68.3,69.39,75.4,73.52,74.93,75.33,32.22,39.94,MIntRec,MIntRec-OOD,mag_bert,maxlogit,bert-base-uncased,3,mag_bert_maxlogit_MIntRec_multi-class_0_2024-05-19-13-34-54,0.006,0.4,0.1,2e-05,ctc,0.03,32
73.93,73.24,73.24,68.76,69.76,68.91,74.88,74.56,72.87,82.0,31.33,43.03,MIntRec,MIntRec-OOD,mag_bert,maxlogit,bert-base-uncased,4,mag_bert_maxlogit_MIntRec_multi-class_0_2024-05-19-13-34-54,0.006,0.4,0.1,2e-05,ctc,0.03,32
73.48,72.99,73.17,69.33,70.0,69.51,71.55,71.48,69.89,82.44,34.22,43.36,MIntRec,MIntRec-OOD,mag_bert,msp,bert-base-uncased,0,mag_bert_msp_MIntRec_multi-class_0_2024-05-19-13-35-51,0.006,0.4,0.1,2e-05,ctc,0.03,32
71.01,69.49,69.1,64.95,65.59,65.8,73.07,70.53,73.41,75.78,32.44,40.16,MIntRec,MIntRec-OOD,mag_bert,msp,bert-base-uncased,1,mag_bert_msp_MIntRec_multi-class_0_2024-05-19-13-35-51,0.006,0.4,0.1,2e-05,ctc,0.03,32
70.11,69.44,69.34,65.75,66.33,66.17,74.36,72.05,71.63,82.89,31.78,43.7,MIntRec,MIntRec-OOD,mag_bert,msp,bert-base-uncased,2,mag_bert_msp_MIntRec_multi-class_0_2024-05-19-13-35-51,0.006,0.4,0.1,2e-05,ctc,0.03,32
72.13,72.21,72.89,68.5,68.3,69.39,74.15,72.61,73.13,76.67,32.89,40.6,MIntRec,MIntRec-OOD,mag_bert,msp,bert-base-uncased,3,mag_bert_msp_MIntRec_multi-class_0_2024-05-19-13-35-51,0.006,0.4,0.1,2e-05,ctc,0.03,32
73.93,73.24,73.24,68.76,69.76,68.91,73.0,72.99,70.98,80.0,32.0,42.26,MIntRec,MIntRec-OOD,mag_bert,msp,bert-base-uncased,4,mag_bert_msp_MIntRec_multi-class_0_2024-05-19-13-35-51,0.006,0.4,0.1,2e-05,ctc,0.03,32
