acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr_main,weight_decay_main,lr_bert,weight_decay_bert,lr_mmilb,weight_decay_mmilb,alpha,dropout_a,dropout_v,dropout_prj,n_layer,cpc_layers,d_vh,d_ah,d_vout,d_aout,d_prjh,scale,beta
72.58,72.6,72.79,69.93,70.44,69.74,77.83,78.26,75.03,76.89,28.67,40.49,MIntRec,MIntRec-OOD,mmim,vim,bert-base-uncased,4,mmim_vim_MIntRec_multi-class_0_2024-05-19-13-39-44,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
73.48,73.49,74.09,70.22,70.78,70.53,75.89,75.1,73.9,79.78,31.56,42.15,MIntRec,MIntRec-OOD,mmim,energy,bert-base-uncased,0,mmim_energy_MIntRec_multi-class_0_2024-05-19-13-41-05,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
69.89,69.84,70.56,66.09,67.38,66.11,76.46,75.7,75.19,74.44,31.56,39.5,MIntRec,MIntRec-OOD,mmim,energy,bert-base-uncased,1,mmim_energy_MIntRec_multi-class_0_2024-05-19-13-41-05,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
72.36,72.96,74.37,70.41,71.28,70.88,75.31,73.54,74.22,78.22,32.22,41.27,MIntRec,MIntRec-OOD,mmim,energy,bert-base-uncased,2,mmim_energy_MIntRec_multi-class_0_2024-05-19-13-41-05,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
72.58,71.97,72.42,68.24,69.67,68.25,77.17,77.14,75.48,76.67,29.56,40.6,MIntRec,MIntRec-OOD,mmim,energy,bert-base-uncased,3,mmim_energy_MIntRec_multi-class_0_2024-05-19-13-41-05,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
72.58,72.6,72.79,69.93,70.44,69.74,75.32,74.11,73.85,76.44,30.67,40.49,MIntRec,MIntRec-OOD,mmim,energy,bert-base-uncased,4,mmim_energy_MIntRec_multi-class_0_2024-05-19-13-41-05,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
73.48,73.49,74.09,70.22,70.78,70.53,75.78,75.04,73.63,78.0,31.11,41.27,MIntRec,MIntRec-OOD,mmim,maxlogit,bert-base-uncased,0,mmim_maxlogit_MIntRec_multi-class_0_2024-05-19-13-42-02,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
69.89,69.84,70.56,66.09,67.38,66.11,76.17,75.54,74.87,76.22,31.11,40.38,MIntRec,MIntRec-OOD,mmim,maxlogit,bert-base-uncased,1,mmim_maxlogit_MIntRec_multi-class_0_2024-05-19-13-42-02,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
72.36,72.96,74.37,70.41,71.28,70.88,74.84,73.34,72.91,79.78,32.67,42.15,MIntRec,MIntRec-OOD,mmim,maxlogit,bert-base-uncased,2,mmim_maxlogit_MIntRec_multi-class_0_2024-05-19-13-42-02,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
72.58,71.97,72.42,68.24,69.67,68.25,76.87,77.01,74.93,76.44,29.56,40.49,MIntRec,MIntRec-OOD,mmim,maxlogit,bert-base-uncased,3,mmim_maxlogit_MIntRec_multi-class_0_2024-05-19-13-42-02,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
72.58,72.6,72.79,69.93,70.44,69.74,75.11,74.02,73.22,78.22,30.89,41.27,MIntRec,MIntRec-OOD,mmim,maxlogit,bert-base-uncased,4,mmim_maxlogit_MIntRec_multi-class_0_2024-05-19-13-42-02,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
73.48,73.49,74.09,70.22,70.78,70.53,73.32,72.77,70.07,83.56,32.89,43.92,MIntRec,MIntRec-OOD,mmim,msp,bert-base-uncased,0,mmim_msp_MIntRec_multi-class_0_2024-05-19-13-43-00,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
69.89,69.84,70.56,66.09,67.38,66.11,73.29,74.24,70.69,81.11,33.56,42.7,MIntRec,MIntRec-OOD,mmim,msp,bert-base-uncased,1,mmim_msp_MIntRec_multi-class_0_2024-05-19-13-43-00,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
72.36,72.96,74.37,70.41,71.28,70.88,71.32,71.85,66.72,88.89,34.44,46.68,MIntRec,MIntRec-OOD,mmim,msp,bert-base-uncased,2,mmim_msp_MIntRec_multi-class_0_2024-05-19-13-43-00,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
72.58,71.97,72.42,68.24,69.67,68.25,74.06,75.61,70.27,84.89,32.44,44.69,MIntRec,MIntRec-OOD,mmim,msp,bert-base-uncased,3,mmim_msp_MIntRec_multi-class_0_2024-05-19-13-43-00,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
72.58,72.6,72.79,69.93,70.44,69.74,73.63,73.45,70.04,84.0,30.89,44.25,MIntRec,MIntRec-OOD,mmim,msp,bert-base-uncased,4,mmim_msp_MIntRec_multi-class_0_2024-05-19-13-43-00,0.0002,0.0003,4e-05,8e-05,0.003,0.0001,0.1,0.1,0.1,0.1,1,1,32,16,8,8,512,20,0.5
