acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,dst_feature_dims,nheads,n_levels,attn_dropout,attn_dropout_v,attn_dropout_a,relu_dropout,embed_dropout,res_dropout,output_dropout,text_dropout,conv1d_kernel_size_l,conv1d_kernel_size_v,conv1d_kernel_size_a,lr
58.58,58.0,57.84,53.62,54.52,53.33,67.01,75.46,53.71,84.96,36.93,55.28,MIntRec2,MIntRec2-OOD,mult,energy,bert-base-uncased,2,mult_energy_MIntRec2_multi-class_0_2024-05-18-03-08-34,80,4,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5,1,1,3e-05
59.81,58.23,58.74,52.11,57.21,52.18,70.73,79.16,57.18,82.04,34.5,53.44,MIntRec2,MIntRec2-OOD,mult,energy,bert-base-uncased,3,mult_energy_MIntRec2_multi-class_0_2024-05-18-03-08-34,80,4,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5,1,1,2.9999999999999997e-05
59.52,58.26,60.15,51.91,59.21,50.36,66.38,75.96,50.92,88.89,37.76,57.79,MIntRec2,MIntRec2-OOD,mult,energy,bert-base-uncased,4,mult_energy_MIntRec2_multi-class_0_2024-05-18-03-08-34,80,4,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5,1,1,3e-05
57.99,57.59,57.61,52.15,52.99,51.76,66.4,74.78,52.27,87.47,38.01,56.89,MIntRec2,MIntRec2-OOD,mult,maxlogit,bert-base-uncased,0,mult_maxlogit_MIntRec2_multi-class_0_2024-05-18-03-12-21,80,4,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5,1,1,2.9999999999999997e-05
56.91,56.11,56.61,50.83,53.31,50.77,66.62,76.7,51.3,88.14,37.68,57.3,MIntRec2,MIntRec2-OOD,mult,maxlogit,bert-base-uncased,1,mult_maxlogit_MIntRec2_multi-class_0_2024-05-18-03-12-21,80,4,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5,1,1,3e-05
58.58,58.0,57.84,53.62,54.52,53.33,66.38,75.17,52.93,85.88,37.26,55.9,MIntRec2,MIntRec2-OOD,mult,maxlogit,bert-base-uncased,2,mult_maxlogit_MIntRec2_multi-class_0_2024-05-18-03-12-21,80,4,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5,1,1,2.9999999999999997e-05
59.81,58.23,58.74,52.11,57.21,52.18,69.73,78.56,56.11,83.71,35.34,54.49,MIntRec2,MIntRec2-OOD,mult,maxlogit,bert-base-uncased,3,mult_maxlogit_MIntRec2_multi-class_0_2024-05-18-03-12-21,80,4,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5,1,1,3e-05
59.52,58.26,60.15,51.91,59.21,50.36,65.84,75.63,50.2,88.14,37.59,57.32,MIntRec2,MIntRec2-OOD,mult,maxlogit,bert-base-uncased,4,mult_maxlogit_MIntRec2_multi-class_0_2024-05-18-03-12-21,80,4,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5,1,1,2.9999999999999997e-05
57.99,57.59,57.61,52.15,52.99,51.76,64.25,74.28,49.39,89.22,40.27,57.98,MIntRec2,MIntRec2-OOD,mult,msp,bert-base-uncased,0,mult_msp_MIntRec2_multi-class_0_2024-05-18-03-16-01,80,4,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5,1,1,3e-05
56.91,56.11,56.61,50.83,53.31,50.77,62.88,75.29,47.68,90.48,41.94,58.75,MIntRec2,MIntRec2-OOD,mult,msp,bert-base-uncased,1,mult_msp_MIntRec2_multi-class_0_2024-05-18-03-16-01,80,4,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5,1,1,2.9999999999999997e-05
58.58,58.0,57.84,53.62,54.52,53.33,62.73,73.69,48.21,88.3,41.27,57.36,MIntRec2,MIntRec2-OOD,mult,msp,bert-base-uncased,2,mult_msp_MIntRec2_multi-class_0_2024-05-18-03-16-01,80,4,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5,1,1,3e-05
59.81,58.23,58.74,52.11,57.21,52.18,66.47,77.09,52.55,86.63,38.85,56.37,MIntRec2,MIntRec2-OOD,mult,msp,bert-base-uncased,3,mult_msp_MIntRec2_multi-class_0_2024-05-18-03-16-01,80,4,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5,1,1,2.9999999999999997e-05
59.52,58.26,60.15,51.91,59.21,50.36,63.27,74.6,47.71,90.31,41.02,58.66,MIntRec2,MIntRec2-OOD,mult,msp,bert-base-uncased,4,mult_msp_MIntRec2_multi-class_0_2024-05-18-03-16-01,80,4,8,0.0,0.2,0.2,0.0,0.1,0.0,0.2,0.4,5,1,1,3e-05
