acc,weighted_f1,weighted_prec,f1,prec,rec,auroc,aupr_in,aupr_out,fpr95,eer,der,eval_acc,dataset,ood_dataset,method,ood_detection_method,text_backbone,seed,log_id,lr,weight_decay,warmup_proportion,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,aligned_method,multiple_ood,select_number_min,select_number_max,alpha,mlp_hidden_size,mlp_dropout,scale,ablation,sampler
55.24,53.07,57.09,44.82,52.15,44.49,68.21,77.54,53.97,85.71,36.76,55.74,0.5597,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,1,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-49-30,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_CosClass,dir
39.3,33.29,35.78,24.45,26.73,28.65,57.95,69.49,44.35,90.89,44.28,59.05,0.4186,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,2,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-49-30,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_CosClass,dir
56.71,55.8,57.66,49.93,51.98,50.82,63.15,73.53,50.0,86.47,40.94,56.26,0.5714,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,3,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-49-30,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_CosClass,dir
58.48,57.35,57.58,51.77,55.0,51.63,71.14,79.77,57.41,82.79,35.09,53.95,0.5823,MIntRec2,MIntRec2-OOD,msz,ma,bert-base-uncased,4,msz_ma_MIntRec2_multi-class_0_2024-05-19-13-49-30,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_CosClass,dir
58.34,57.55,57.6,52.64,53.52,53.05,70.12,79.62,54.41,87.47,34.5,56.87,,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,0,msz_residual_MIntRec2_multi-class_0_2024-05-20-01-59-19,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_cat,dir
58.58,57.1,56.63,49.71,51.62,49.87,70.38,79.73,55.3,85.96,35.67,55.87,,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,0,msz_residual_MIntRec2_multi-class_0_2024-05-20-01-59-14,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_add,dir
59.27,58.2,58.81,53.92,56.73,53.33,73.39,81.73,59.17,81.54,32.66,53.16,,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,0,msz_residual_MIntRec2_multi-class_0_2024-05-20-01-59-11,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_binary,dir
57.94,56.0,57.05,48.16,55.41,47.89,72.93,81.17,60.71,77.28,32.66,50.48,,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,0,msz_residual_MIntRec2_multi-class_0_2024-05-20-01-59-17,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_CosClass,dir
58.29,57.93,58.26,53.2,53.89,53.6,72.12,81.14,56.7,85.96,33.42,55.93,,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,1,msz_residual_MIntRec2_multi-class_0_2024-05-20-01-59-14,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_add,dir
59.12,57.85,57.34,52.01,53.14,52.04,70.39,79.62,54.93,86.3,35.67,56.16,,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,1,msz_residual_MIntRec2_multi-class_0_2024-05-20-01-59-19,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_cat,dir
58.58,58.0,58.25,53.32,55.07,53.4,72.02,81.28,57.52,84.29,34.25,54.9,,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,1,msz_residual_MIntRec2_multi-class_0_2024-05-20-01-59-11,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_binary,dir
58.44,57.26,57.72,51.55,54.61,52.59,72.16,80.88,56.62,84.13,33.17,54.77,,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,2,msz_residual_MIntRec2_multi-class_0_2024-05-20-01-59-14,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_add,dir
58.29,57.06,57.46,51.46,54.96,51.26,71.8,80.8,56.08,85.38,33.75,55.58,,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,2,msz_residual_MIntRec2_multi-class_0_2024-05-20-01-59-19,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_cat,dir
55.24,53.07,57.09,44.82,52.15,44.49,69.44,79.37,55.07,84.96,36.42,55.3,,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,1,msz_residual_MIntRec2_multi-class_0_2024-05-20-01-59-17,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_CosClass,dir
57.85,57.3,57.38,51.62,52.75,51.67,71.18,80.34,55.64,85.05,34.09,55.33,,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,3,msz_residual_MIntRec2_multi-class_0_2024-05-20-01-59-14,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_add,dir
58.29,57.26,58.61,51.8,55.03,52.76,71.03,80.32,55.96,85.21,34.42,55.48,,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,3,msz_residual_MIntRec2_multi-class_0_2024-05-20-01-59-19,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_cat,dir
59.52,57.72,58.4,51.0,55.01,51.62,72.82,81.37,58.86,81.29,32.83,53.0,,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,2,msz_residual_MIntRec2_multi-class_0_2024-05-20-01-59-11,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_binary,dir
58.78,58.04,58.24,53.06,54.38,53.19,71.22,80.24,56.18,83.46,33.75,54.37,,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,4,msz_residual_MIntRec2_multi-class_0_2024-05-20-01-59-14,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_add,dir
39.3,33.29,35.78,24.45,26.73,28.65,59.23,70.51,45.53,90.23,43.11,58.63,,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,2,msz_residual_MIntRec2_multi-class_0_2024-05-20-01-59-17,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_CosClass,dir
57.75,57.31,57.61,52.69,53.49,53.29,71.06,80.33,55.63,84.63,34.5,55.05,,MIntRec2,MIntRec2-OOD,msz,residual,bert-base-uncased,4,msz_residual_MIntRec2_multi-class_0_2024-05-20-01-59-19,1e-05,0.1,0.01,768,4,0.3,0.3,768,6,768,ctc,1,2,3,2,256,0.3,8,no_fusion_cat,dir
