acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,ablation,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,dropout,aligned_method,lr,patience,factor
59.62,53.4,57.22,53.36,0.5178,MIntRec2,msz,bert-base-uncased,5.0,msz_MIntRec2_multi-class_seed-5_2024-05-08-03-35-23,no_modality,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
59.17,52.71,54.09,52.66,0.5343,MIntRec2,msz,bert-base-uncased,3.0,msz_MIntRec2_multi-class_seed-3_2024-05-08-03-35-47,no_selfatt,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
58.88,53.44,55.28,53.29,0.5315,MIntRec2,msz,bert-base-uncased,4.0,msz_MIntRec2_multi-class_seed-4_2024-05-08-03-54-41,no_cat,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
58.14,52.08,52.98,52.17,0.5159,MIntRec2,msz,bert-base-uncased,3.0,msz_MIntRec2_multi-class_seed-3_2024-05-08-04-01-01,no_modality,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
59.12,51.66,54.04,51.89,0.5221,MIntRec2,msz,bert-base-uncased,4.0,msz_MIntRec2_multi-class_seed-4_2024-05-08-04-17-50,no_selfatt,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
..,,,,,,,,,,,,,,,,,,,,,,
60.11,54.91,56.29,54.79,0.5245,MIntRec2,msz,bert-base-uncased,1.0,msz_MIntRec2_multi-class_seed-1_2024-05-08-04-44-07,no_fatt,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
19.97,5.12,14.1,8.36,0.0408,MIntRec2,msz,bert-base-uncased,1.0,msz_MIntRec2_multi-class_seed-1_2024-05-08-05-14-12,no_cross,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
28.09,9.61,11.53,13.0,0.0907,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-05-08-05-27-11,no_cross,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
71.01,67.88,68.86,67.77,0.6912,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-05-08-05-25-58,no_fatt,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
28.09,9.64,14.69,12.71,0.1006,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-05-08-05-30-16,no_cross,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
21.0,5.64,8.68,8.69,0.0472,MIntRec2,msz,bert-base-uncased,2.0,msz_MIntRec2_multi-class_seed-2_2024-05-08-05-21-09,no_cross,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
30.11,10.84,11.79,14.31,0.1121,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-05-08-05-33-23,no_cross,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
33.03,12.41,13.3,16.02,0.1173,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-05-08-05-38-33,no_cross,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
31.01,11.25,13.3,14.76,0.0922,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-05-08-05-43-41,no_cross,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
21.99,6.58,14.35,9.48,0.0572,MIntRec2,msz,bert-base-uncased,3.0,msz_MIntRec2_multi-class_seed-3_2024-05-08-05-42-28,no_cross,768.0,6.0,0.3,0.5,768.0,6.0,1000.0,0.2,conv1d,5e-06,5.0,0.2
71.24,67.17,68.15,66.87,0.7,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-05-08-05-57-07,no_fatt,768.0,12.0,0.2,0.2,768.0,8.0,768.0,0.1,conv1d,8e-06,8.0,0.1
