acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,dst_feature_dims,nheads,n_levels,conv1d_kernel_size_l,conv1d_kernel_size_v,conv1d_kernel_size_a,lr,attn_dropout,attn_dropout_v,attn_dropout_a,relu_dropout,embed_dropout,res_dropout,output_dropout,text_dropout,grad_clip
58.14,52.7,53.94,52.2,0.5263,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-02-07-18-22,120.0,12.0,4.0,5.0,1.0,1.0,1e-05,,,,,,,,,
57.55,51.18,52.22,51.69,0.5296,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-02-07-49-59,120.0,8.0,2.0,6.0,1.0,1.0,2e-05,,,,,,,,,
58.14,51.77,53.62,51.7,0.5358,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-02-08-11-08,120.0,8.0,2.0,6.0,1.0,1.0,1e-05,,,,,,,,,
57.55,51.95,54.4,51.29,0.5222,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-02-08-36-09,120.0,8.0,2.0,5.0,1.0,1.0,2e-05,,,,,,,,,
58.44,52.12,53.84,51.63,0.522,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-02-08-54-01,120.0,8.0,2.0,5.0,1.0,1.0,1e-05,,,,,,,,,
58.63,53.11,54.35,52.68,0.5162,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-02-09-37-42,120.0,8.0,4.0,6.0,1.0,1.0,2e-05,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
58.78,52.13,52.64,52.07,0.5369,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-02-10-53-08,120.0,8.0,4.0,6.0,1.0,1.0,1e-05,,,,,,,,,
57.4,51.53,52.11,51.67,0.5324,MIntRec2,mult,bert-base-uncased,2.0,mult_MIntRec2_multi-class_seed-2_2024-03-02-12-22-37,120.0,8.0,4.0,6.0,1.0,1.0,1e-05,,,,,,,,,
59.37,53.04,55.87,52.63,0.5237,MIntRec2,mult,bert-base-uncased,3.0,mult_MIntRec2_multi-class_seed-3_2024-03-02-13-00-02,120.0,8.0,4.0,6.0,1.0,1.0,1e-05,,,,,,,,,
57.01,51.07,51.71,51.0,0.54,MIntRec2,mult,bert-base-uncased,4.0,mult_MIntRec2_multi-class_seed-4_2024-03-02-13-26-34,120.0,8.0,4.0,6.0,1.0,1.0,1e-05,,,,,,,,,
..,,,,,,,,,,,,,,,,,,,,,,,,,
57.4,51.48,52.99,51.76,0.5243,MIntRec2,mult,bert-base-uncased,2.0,mult_MIntRec2_multi-class_seed-2_2024-03-02-14-06-59,120.0,8.0,4.0,6.0,1.0,1.0,2e-05,,,,,,,,,
55.88,49.48,51.39,48.9,0.5165,MIntRec2,mult,bert-base-uncased,3.0,mult_MIntRec2_multi-class_seed-3_2024-03-02-14-33-43,120.0,8.0,4.0,6.0,1.0,1.0,2e-05,,,,,,,,,
56.62,50.26,50.57,50.25,0.5219,MIntRec2,mult,bert-base-uncased,4.0,mult_MIntRec2_multi-class_seed-4_2024-03-02-15-00-26,120.0,8.0,4.0,6.0,1.0,1.0,2e-05,,,,,,,,,
58.24,52.09,52.98,51.95,0.5213,MIntRec2,mult,bert-base-uncased,5.0,mult_MIntRec2_multi-class_seed-5_2024-03-02-15-46-01,120.0,8.0,4.0,6.0,1.0,1.0,2e-05,,,,,,,,,
..,,,,,,,,,,,,,,,,,,,,,,,,,
57.55,51.78,52.62,51.45,0.5299,MIntRec2,mult,bert-base-uncased,2.0,mult_MIntRec2_multi-class_seed-2_2024-03-03-07-34-29,80.0,8.0,4.0,6.0,1.0,1.0,2e-05,,,,,,,,,
...,,,,,,,,,,,,,,,,,,,,,,,,,
57.6,51.46,52.89,51.14,0.536,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-08-07-17-19,80.0,8.0,8.0,6.0,1.0,2.0,3e-05,,,,,,,,,
58.53,52.4,53.28,53.03,0.5247,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-08-08-00-04,80.0,8.0,8.0,6.0,1.0,2.0,2e-05,,,,,,,,,
58.83,53.24,54.44,52.91,0.5176,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-08-08-23-47,80.0,8.0,8.0,6.0,1.0,1.0,3e-05,,,,,,,,,
57.26,51.6,52.08,51.49,0.5427,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-08-08-59-53,80.0,8.0,8.0,6.0,1.0,1.0,2e-05,,,,,,,,,
57.55,51.42,52.64,51.1,0.5334,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-08-09-43-57,80.0,8.0,8.0,6.0,2.0,2.0,3e-05,,,,,,,,,
58.29,52.43,53.89,51.79,0.5299,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-08-10-37-19,80.0,8.0,8.0,6.0,2.0,2.0,2e-05,,,,,,,,,
57.26,52.06,53.84,51.42,0.5191,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-08-11-22-15,80.0,8.0,8.0,6.0,2.0,1.0,3e-05,,,,,,,,,
57.8,52.42,53.73,52.24,0.5108,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-08-11-43-55,80.0,8.0,8.0,6.0,2.0,1.0,2e-05,,,,,,,,,
57.11,51.23,52.9,51.04,0.5375,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-08-12-10-30,80.0,8.0,4.0,6.0,1.0,2.0,3e-05,,,,,,,,,
58.29,51.46,53.04,51.15,0.5297,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-08-12-25-34,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,,,,,,,,,
56.86,51.08,52.43,50.72,0.5147,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-08-12-42-26,80.0,8.0,4.0,6.0,1.0,1.0,3e-05,,,,,,,,,
58.19,52.3,53.36,52.01,0.5103,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-08-13-07-31,80.0,8.0,4.0,6.0,1.0,1.0,2e-05,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,
58.39,53.36,54.06,54.47,0.5176,MIntRec2,mult,bert-base-uncased,1.0,mult_MIntRec2_multi-class_seed-1_2024-03-08-13-43-28,80.0,8.0,4.0,6.0,2.0,2.0,3e-05,,,,,,,,,
56.81,50.69,51.57,51.24,0.5087,MIntRec2,mult,bert-base-uncased,2.0,mult_MIntRec2_multi-class_seed-2_2024-03-08-14-04-40,80.0,8.0,4.0,6.0,2.0,2.0,2.9999999999999997e-05,,,,,,,,,
58.14,53.39,54.5,53.5,0.516,MIntRec2,mult,bert-base-uncased,3.0,mult_MIntRec2_multi-class_seed-3_2024-03-08-14-19-51,80.0,8.0,4.0,6.0,2.0,2.0,3e-05,,,,,,,,,
57.6,51.81,53.66,51.49,0.5018,MIntRec2,mult,bert-base-uncased,4.0,mult_MIntRec2_multi-class_seed-4_2024-03-08-14-34-11,80.0,8.0,4.0,6.0,2.0,2.0,2.9999999999999997e-05,,,,,,,,,
57.55,51.15,51.73,51.1,0.5337,MIntRec2,mult,bert-base-uncased,5.0,mult_MIntRec2_multi-class_seed-5_2024-03-08-14-48-22,80.0,8.0,4.0,6.0,2.0,2.0,3e-05,,,,,,,,,
...,,,,,,,,,,,,,,,,,,,,,,,,,
56.86,50.5,51.14,50.79,0.5245,MIntRec2,mult,bert-base-uncased,2.0,mult_MIntRec2_multi-class_seed-2_2024-03-09-01-55-01,80.0,8.0,8.0,6.0,1.0,1.0,2.9999999999999997e-05,,,,,,,,,
57.26,52.06,53.0,51.74,0.5248,MIntRec2,mult,bert-base-uncased,2.0,mult_MIntRec2_multi-class_seed-2_2024-03-09-02-43-47,80.0,8.0,8.0,6.0,1.0,2.0,2e-05,,,,,,,,,
57.6,52.28,53.43,51.91,0.5315,MIntRec2,mult,bert-base-uncased,3.0,mult_MIntRec2_multi-class_seed-3_2024-03-09-03-50-39,80.0,8.0,8.0,6.0,1.0,2.0,2e-05,,,,,,,,,
58.78,52.92,53.81,53.49,0.5228,MIntRec2,mult,bert-base-uncased,2.0,mult_MIntRec2_multi-class_seed-2_2024-03-09-04-59-51,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,,,,,,,,,
58.34,53.0,53.89,52.91,0.518,MIntRec2,mult,bert-base-uncased,3.0,mult_MIntRec2_multi-class_seed-3_2024-03-09-05-24-40,80.0,8.0,4.0,6.0,1.0,2.0,2e-05,,,,,,,,,
