acc,f1,prec,rec,eval_acc,dataset,method,text_backbone,seed,logger_name,eval_f1,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,num_hidden_layers,dropout,aligned_method,lr,hidden_size,hidden_dims,intermediate_size,max_position_embeddings,d_num_attention_heads,d_attention_probs_dropout_prob,d_hidden_dropout_prob,d_num_hidden_layers,d_max_position_embeddings,m_num_attention_heads,m_attention_probs_dropout_prob,m_hidden_dropout_prob,m_num_hidden_layers,m_max_position_embeddings,patience,factor
fusion_feats = torch.cat((t_a_att , t_v_att , t_att), dim=1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.87,64.97,65.02,65.36,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-24-04-53-16,0.6871,,,,,,,,,,,,,,,,,,,,,,,
69.44,66.51,65.96,67.56,,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-01-24-05-03-40,0.6894,,,,,,,,,,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.56,67.89,68.0,68.55,,MIntRec,msz,bert-base-uncased,0.0,msz_MIntRec_multi-class_seed-0_2024-01-24-08-24-15,0.6916,,,,,,,,,,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.56,67.89,68.0,68.55,,MIntRec,msz,bert-base-uncased,0.0,msz_MIntRec_multi-class_seed-0_2024-01-24-08-36-38,0.6916,,,,,,,,,,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.58,69.93,70.21,70.61,,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-01-24-08-50-41,0.6905,,,,,,,,,,,,,,,,,,,,,,,
72.13,69.76,70.02,69.96,,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-01-24-08-57-44,0.6890000000000001,,,,,,,,,,,,,,,,,,,,,,,
72.13,70.17,70.71,70.15,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-24-09-07-34,0.6929,,,,,,,,,,,,,,,,,,,,,,,
71.46,68.28,69.22,67.97,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-24-09-17-01,0.7058,,,,,,,,,,,,,,,,,,,,,,,
73.93,70.26,70.53,70.78,,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-01-24-09-27-44,0.6938,,,,,,,,,,,,,,,,,,,,,,,
....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.13,70.17,70.71,70.15,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-26-07-31-51,0.6929,,,,,,,,,,,,,,,,,,,,,,,
71.46,68.28,69.22,67.97,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-26-07-39-29,0.7058,,,,,,,,,,,,,,,,,,,,,,,
73.93,70.26,70.53,70.78,,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-01-26-07-47-24,0.6938,,,,,,,,,,,,,,,,,,,,,,,
72.58,69.93,70.21,70.61,,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-01-26-07-52-41,0.6905,,,,,,,,,,,,,,,,,,,,,,,
72.13,69.76,70.02,69.96,,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-01-26-07-58-43,0.6890000000000001,,,,,,,,,,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.91,69.14,70.6,68.89,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-26-08-20-19,0.6899,,,,,,,,,,,,,,,,,,,,,,,
69.66,65.42,66.07,66.22,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-26-08-23-43,0.6932,,,,,,,,,,,,,,,,,,,,,,,
70.79,67.03,67.29,67.51,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-26-08-28-16,0.6883,,,,,,,,,,,,,,,,,,,,,,,
71.01,68.12,69.44,68.05,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-26-08-33-18,0.6884,,,,,,,,,,,,,,,,,,,,,,,
68.09,64.05,64.72,64.71,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-26-08-36-48,0.7074,,,,,,,,,,,,,,,,,,,,,,,
72.13,69.06,69.24,69.38,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-26-08-44-28,0.6866,,,,,,,,,,,,,,,,,,,,,,,
69.66,65.77,66.6,65.64,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-26-08-50-20,0.6954,,,,,,,,,,,,,,,,,,,,,,,
71.46,68.81,69.01,69.76,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-26-08-56-14,0.6844,,,,,,,,,,,,,,,,,,,,,,,
69.89,66.12,67.16,65.77,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-26-09-00-17,0.6965,,,,,,,,,,,,,,,,,,,,,,,
71.46,68.5,68.8,68.76,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-26-09-05-06,0.6871,,,,,,,,,,,,,,,,,,,,,,,
69.89,66.02,66.23,66.34,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-26-09-10-58,0.6853,,,,,,,,,,,,,,,,,,,,,,,
71.01,67.51,67.76,67.85,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-26-09-19-29,0.6969,,,,,,,,,,,,,,,,,,,,,,,
68.99,65.07,65.47,65.45,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-26-09-23-59,0.6965,,,,,,,,,,,,,,,,,,,,,,,
69.89,66.89,66.84,67.71,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-26-09-36-39,0.6914,,,,,,,,,,,,,,,,,,,,,,,
...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.44,65.15,67.01,65.02,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-05-28-07,0.7034,12.0,0.1,0.2,4.0,0.3,conv1d,6e-06,,,,,,,,,,,,,,,,
70.11,66.6,67.27,66.88,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-05-33-54,0.715,12.0,0.1,0.2,4.0,0.3,conv1d,9e-06,,,,,,,,,,,,,,,,
69.44,65.74,66.24,66.26,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-05-38-31,0.6995,12.0,0.1,0.2,4.0,0.3,conv1d,8e-06,,,,,,,,,,,,,,,,
69.21,65.21,68.26,65.3,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-05-43-08,0.7058,12.0,0.1,0.2,4.0,0.3,ctc,6e-06,,,,,,,,,,,,,,,,
68.54,64.76,65.69,65.89,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-05-47-19,0.7011,12.0,0.1,0.2,4.0,0.3,ctc,9e-06,,,,,,,,,,,,,,,,
70.34,67.28,68.64,67.64,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-05-51-30,0.7020000000000001,12.0,0.1,0.2,4.0,0.3,ctc,8e-06,,,,,,,,,,,,,,,,
69.21,65.65,66.34,66.41,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-05-56-29,0.6999,12.0,0.1,0.2,4.0,0.1,conv1d,6e-06,,,,,,,,,,,,,,,,
69.66,65.62,66.22,66.4,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-06-00-57,0.6966,12.0,0.1,0.2,4.0,0.1,conv1d,9e-06,,,,,,,,,,,,,,,,
69.89,66.38,68.13,66.31,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-06-05-32,0.6994,12.0,0.1,0.2,4.0,0.1,conv1d,8e-06,,,,,,,,,,,,,,,,
68.99,63.98,65.55,64.73,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-06-11-13,0.7213,12.0,0.1,0.2,4.0,0.1,ctc,6e-06,,,,,,,,,,,,,,,,
71.46,67.12,67.76,67.34,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-06-15-18,0.6955,12.0,0.1,0.2,4.0,0.1,ctc,9e-06,,,,,,,,,,,,,,,,
69.21,65.73,66.93,66.9,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-06-20-26,0.7073,12.0,0.1,0.2,4.0,0.1,ctc,8e-06,,,,,,,,,,,,,,,,
68.99,64.29,65.69,64.66,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-06-24-32,0.7057,12.0,0.1,0.2,4.0,0.5,conv1d,6e-06,,,,,,,,,,,,,,,,
70.56,66.25,67.3,66.21,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-06-31-21,0.7020000000000001,12.0,0.1,0.2,4.0,0.5,conv1d,9e-06,,,,,,,,,,,,,,,,
68.99,65.14,66.46,65.37,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-06-38-18,0.7033,12.0,0.1,0.2,4.0,0.5,conv1d,8e-06,,,,,,,,,,,,,,,,
69.44,66.19,68.14,66.22,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-06-45-01,0.708,12.0,0.1,0.2,4.0,0.5,ctc,6e-06,,,,,,,,,,,,,,,,
68.99,65.04,66.06,66.29,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-06-49-40,0.7185,12.0,0.1,0.2,4.0,0.5,ctc,9e-06,,,,,,,,,,,,,,,,
70.79,66.08,67.05,66.21,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-06-53-28,0.7073,12.0,0.1,0.2,4.0,0.5,ctc,8e-06,,,,,,,,,,,,,,,,
70.56,67.86,68.66,67.73,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-06-57-50,0.6885,12.0,0.1,0.2,8.0,0.3,conv1d,6e-06,,,,,,,,,,,,,,,,
71.24,68.94,69.52,69.02,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-07-04-48,0.68,12.0,0.1,0.2,8.0,0.3,conv1d,9e-06,,,,,,,,,,,,,,,,
70.79,68.38,69.65,67.86,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-07-12-18,0.6764,12.0,0.1,0.2,8.0,0.3,conv1d,8e-06,,,,,,,,,,,,,,,,
69.44,66.95,67.68,66.64,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-07-18-59,0.6928,12.0,0.1,0.2,8.0,0.3,ctc,6e-06,,,,,,,,,,,,,,,,
70.11,66.8,67.27,67.07,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-07-27-57,0.6862,12.0,0.1,0.2,8.0,0.3,ctc,9e-06,,,,,,,,,,,,,,,,
69.44,65.17,66.37,64.94,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-07-34-14,0.6836,12.0,0.1,0.2,8.0,0.3,ctc,8e-06,,,,,,,,,,,,,,,,
71.01,68.49,69.35,68.41,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-07-39-42,0.6865,12.0,0.1,0.2,8.0,0.1,conv1d,6e-06,,,,,,,,,,,,,,,,
70.56,68.24,68.85,68.26,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-07-48-48,0.6834,12.0,0.1,0.2,8.0,0.1,conv1d,9e-06,,,,,,,,,,,,,,,,
71.01,68.24,69.15,68.25,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-07-58-31,0.6849,12.0,0.1,0.2,8.0,0.1,conv1d,8e-06,,,,,,,,,,,,,,,,
70.34,67.31,68.11,67.08,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-08-04-51,0.6859999999999999,12.0,0.1,0.2,8.0,0.1,ctc,6e-06,,,,,,,,,,,,,,,,
71.69,68.49,69.15,68.54,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-08-16-12,0.6902,12.0,0.1,0.2,8.0,0.1,ctc,9e-06,,,,,,,,,,,,,,,,
71.24,67.51,69.01,66.84,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-08-23-08,0.6845,12.0,0.1,0.2,8.0,0.1,ctc,8e-06,,,,,,,,,,,,,,,,
71.46,68.33,70.1,67.97,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-08-31-40,0.6902,12.0,0.1,0.2,8.0,0.5,conv1d,6e-06,,,,,,,,,,,,,,,,
70.56,67.33,68.71,67.04,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-08-39-20,0.6822,12.0,0.1,0.2,8.0,0.5,conv1d,9e-06,,,,,,,,,,,,,,,,
69.89,67.77,68.44,67.91,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-08-44-20,0.6802,12.0,0.1,0.2,8.0,0.5,conv1d,8e-06,,,,,,,,,,,,,,,,
70.11,67.19,67.95,66.97,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-08-49-49,0.6964,12.0,0.1,0.2,8.0,0.5,ctc,6e-06,,,,,,,,,,,,,,,,
70.79,67.85,68.42,67.8,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-08-58-58,0.6992,12.0,0.1,0.2,8.0,0.5,ctc,9e-06,,,,,,,,,,,,,,,,
70.56,67.74,68.51,67.5,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-09-06-10,0.6895,12.0,0.1,0.2,8.0,0.5,ctc,8e-06,,,,,,,,,,,,,,,,
70.11,65.72,66.42,65.72,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-09-13-39,0.6976,12.0,0.1,0.3,4.0,0.3,conv1d,6e-06,,,,,,,,,,,,,,,,
68.76,65.01,65.73,65.15,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-09-19-06,0.7081,12.0,0.1,0.3,4.0,0.3,conv1d,9e-06,,,,,,,,,,,,,,,,
69.21,65.79,66.2,66.27,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-09-25-49,0.7015,12.0,0.1,0.3,4.0,0.3,conv1d,8e-06,,,,,,,,,,,,,,,,
69.89,65.98,67.87,65.89,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-09-30-29,0.7071,12.0,0.1,0.3,4.0,0.3,ctc,6e-06,,,,,,,,,,,,,,,,
70.34,66.77,67.05,67.12,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-09-35-05,0.7019,12.0,0.1,0.3,4.0,0.3,ctc,9e-06,,,,,,,,,,,,,,,,
68.76,65.38,67.26,66.15,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-09-39-36,0.7054,12.0,0.1,0.3,4.0,0.3,ctc,8e-06,,,,,,,,,,,,,,,,
68.76,64.7,66.18,64.82,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-09-43-39,0.7034,12.0,0.1,0.3,4.0,0.1,conv1d,6e-06,,,,,,,,,,,,,,,,
70.34,66.99,68.27,66.6,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-09-49-39,0.7021,12.0,0.1,0.3,4.0,0.1,conv1d,9e-06,,,,,,,,,,,,,,,,
68.99,65.39,66.35,65.26,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-09-58-48,0.7025,12.0,0.1,0.3,4.0,0.1,conv1d,8e-06,,,,,,,,,,,,,,,,
69.89,65.44,66.52,65.74,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-10-05-20,0.7059,12.0,0.1,0.3,4.0,0.1,ctc,6e-06,,,,,,,,,,,,,,,,
69.21,65.4,66.17,66.65,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-10-09-52,0.7038,12.0,0.1,0.3,4.0,0.1,ctc,9e-06,,,,,,,,,,,,,,,,
69.44,65.48,66.47,65.85,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-10-13-48,0.7144,12.0,0.1,0.3,4.0,0.1,ctc,8e-06,,,,,,,,,,,,,,,,
68.99,63.76,64.32,65.05,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-10-18-37,0.7109,12.0,0.1,0.3,4.0,0.5,conv1d,6e-06,,,,,,,,,,,,,,,,
69.89,64.52,66.25,64.8,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-10-22-57,0.7007,12.0,0.1,0.3,4.0,0.5,conv1d,9e-06,,,,,,,,,,,,,,,,
69.44,66.12,67.15,66.15,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-10-26-45,0.7055,12.0,0.1,0.3,4.0,0.5,conv1d,8e-06,,,,,,,,,,,,,,,,
70.34,66.48,66.78,66.72,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-10-33-19,0.7041,12.0,0.1,0.3,4.0,0.5,ctc,6e-06,,,,,,,,,,,,,,,,
69.21,65.2,65.65,66.51,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-10-39-53,0.7163,12.0,0.1,0.3,4.0,0.5,ctc,9e-06,,,,,,,,,,,,,,,,
70.34,67.03,67.89,66.96,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-10-43-47,0.7039,12.0,0.1,0.3,4.0,0.5,ctc,8e-06,,,,,,,,,,,,,,,,
71.01,68.41,69.17,68.34,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-10-48-11,0.6904,12.0,0.1,0.3,8.0,0.3,conv1d,6e-06,,,,,,,,,,,,,,,,
70.34,66.08,69.22,64.9,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-10-55-05,0.6845,12.0,0.1,0.3,8.0,0.3,conv1d,9e-06,,,,,,,,,,,,,,,,
70.34,67.51,68.55,67.26,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-10-59-28,0.674,12.0,0.1,0.3,8.0,0.3,conv1d,8e-06,,,,,,,,,,,,,,,,
69.66,66.94,67.9,66.48,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-11-06-40,0.6889,12.0,0.1,0.3,8.0,0.3,ctc,6e-06,,,,,,,,,,,,,,,,
70.79,67.9,69.89,67.33,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-11-15-12,0.6847,12.0,0.1,0.3,8.0,0.3,ctc,9e-06,,,,,,,,,,,,,,,,
71.01,68.31,70.1,67.61,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-11-21-11,0.6825,12.0,0.1,0.3,8.0,0.3,ctc,8e-06,,,,,,,,,,,,,,,,
71.01,68.46,69.23,68.43,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-11-26-58,0.691,12.0,0.1,0.3,8.0,0.1,conv1d,6e-06,,,,,,,,,,,,,,,,
71.24,68.68,69.4,68.59,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-11-33-51,0.6866,12.0,0.1,0.3,8.0,0.1,conv1d,9e-06,,,,,,,,,,,,,,,,
70.79,68.13,68.65,68.18,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-11-40-24,0.6837,12.0,0.1,0.3,8.0,0.1,conv1d,8e-06,,,,,,,,,,,,,,,,
71.01,68.05,68.92,67.74,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-11-47-18,0.6957,12.0,0.1,0.3,8.0,0.1,ctc,6e-06,,,,,,,,,,,,,,,,
71.24,68.08,70.22,67.46,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-11-56-11,0.6920000000000001,12.0,0.1,0.3,8.0,0.1,ctc,9e-06,,,,,,,,,,,,,,,,
71.24,67.97,68.7,68.04,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-12-01-56,0.6958,12.0,0.1,0.3,8.0,0.1,ctc,8e-06,,,,,,,,,,,,,,,,
70.56,67.31,68.34,67.12,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-12-09-07,0.6807,12.0,0.1,0.3,8.0,0.5,conv1d,6e-06,,,,,,,,,,,,,,,,
70.11,67.42,68.84,67.13,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-12-17-26,0.6683,12.0,0.1,0.3,8.0,0.5,conv1d,9e-06,,,,,,,,,,,,,,,,
70.11,67.44,69.05,66.97,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-12-23-13,0.6886,12.0,0.1,0.3,8.0,0.5,conv1d,8e-06,,,,,,,,,,,,,,,,
69.66,66.49,66.85,66.54,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-12-28-27,0.6854,12.0,0.1,0.3,8.0,0.5,ctc,6e-06,,,,,,,,,,,,,,,,
70.56,67.66,68.4,67.66,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-12-38-19,0.6867,12.0,0.1,0.3,8.0,0.5,ctc,9e-06,,,,,,,,,,,,,,,,
69.66,67.41,67.57,67.98,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-12-53-18,0.6891,12.0,0.1,0.2,6.0,0.3,conv1d,1e-05,,,,,,,,,,,,,,,,
70.79,68.8,69.37,69.52,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-12-58-56,0.6898,12.0,0.1,0.2,6.0,0.3,conv1d,9e-06,,,,,,,,,,,,,,,,
69.21,66.24,66.36,66.56,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-13-04-03,0.7022,12.0,0.1,0.2,6.0,0.3,conv1d,8e-06,,,,,,,,,,,,,,,,
70.79,68.76,68.9,69.28,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-13-11-23,0.6979,12.0,0.1,0.2,6.0,0.3,ctc,1e-05,,,,,,,,,,,,,,,,
70.34,68.06,68.6,68.55,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-13-17-52,0.7063,12.0,0.1,0.2,6.0,0.3,ctc,9e-06,,,,,,,,,,,,,,,,
69.44,66.11,65.95,67.08,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-13-22-56,0.6940000000000001,12.0,0.1,0.2,6.0,0.3,ctc,8e-06,,,,,,,,,,,,,,,,
69.21,67.09,67.58,67.44,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-13-27-42,0.6926,12.0,0.1,0.2,6.0,0.1,conv1d,1e-05,,,,,,,,,,,,,,,,
69.66,66.95,66.89,67.55,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-13-33-42,0.6937,12.0,0.1,0.2,6.0,0.1,conv1d,9e-06,,,,,,,,,,,,,,,,
69.66,67.44,67.38,68.05,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-13-39-43,0.6965,12.0,0.1,0.2,6.0,0.1,conv1d,8e-06,,,,,,,,,,,,,,,,
72.36,70.26,70.65,70.61,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-13-44-54,0.7062,12.0,0.1,0.2,6.0,0.1,ctc,1e-05,,,,,,,,,,,,,,,,
71.69,68.69,68.85,69.1,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-13-52-29,0.6921,12.0,0.1,0.2,6.0,0.1,ctc,9e-06,,,,,,,,,,,,,,,,
69.44,65.21,67.28,65.19,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-14-00-30,0.6776,12.0,0.1,0.2,6.0,0.1,ctc,8e-06,,,,,,,,,,,,,,,,
70.79,68.0,68.22,68.14,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-14-04-04,0.6953,12.0,0.1,0.2,6.0,0.5,conv1d,1e-05,,,,,,,,,,,,,,,,
70.11,67.17,67.25,67.6,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-14-11-11,0.6931,12.0,0.1,0.2,6.0,0.5,conv1d,9e-06,,,,,,,,,,,,,,,,
71.24,68.05,68.17,68.19,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-14-17-09,0.6953,12.0,0.1,0.2,6.0,0.5,conv1d,8e-06,,,,,,,,,,,,,,,,
71.69,69.31,69.47,69.97,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-03-01-14-24-04,0.6908,12.0,0.1,0.2,6.0,0.5,ctc,1e-05,,,,,,,,,,,,,,,,
