acc,f1,prec,rec,eval_acc,dataset,method,text_backbone,seed,logger_name,eval_f1,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,num_hidden_layers,dropout,aligned_method,lr,hidden_size,hidden_dims,intermediate_size,max_position_embeddings,d_num_attention_heads,d_attention_probs_dropout_prob,d_hidden_dropout_prob,d_num_hidden_layers,d_max_position_embeddings,m_num_attention_heads,m_attention_probs_dropout_prob,m_hidden_dropout_prob,m_num_hidden_layers,m_max_position_embeddings,patience,factor
fusion_feats = torch.cat((t_a_att , t_v_att , t_att), dim=1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.52,62.31,63.98,62.75,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-05-06-13-03,0.6642,,,,,,,,,,,,,,,,,,,,,,,
69.21,65.02,66.36,65.54,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-05-06-21-36,0.6666,,,,,,,,,,,,,,,,,,,,,,,
67.42,67.17,69.1,69.34,,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-01-05-06-31-29,0.6721,,,,,,,,,,,,,,,,,,,,,,,
69.21,64.31,64.78,66.29,,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-01-05-06-40-37,0.685,,,,,,,,,,,,,,,,,,,,,,,
64.27,62.85,66.01,62.65,,MIntRec,msz,bert-base-uncased,5.0,msz_MIntRec_multi-class_seed-5_2024-01-05-06-48-53,0.6587,,,,,,,,,,,,,,,,,,,,,,,
att1,att2,att3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.01,67.69,70.82,66.81,,MIntRec,msz,bert-base-uncased,1.0,msz_MIntRec_multi-class_seed-1_2024-01-05-07-06-25,0.6533,,,,,,,,,,,,,,,,,,,,,,,
69.21,65.71,67.26,66.88,,MIntRec,msz,bert-base-uncased,2.0,msz_MIntRec_multi-class_seed-2_2024-01-05-07-22-12,0.6761,,,,,,,,,,,,,,,,,,,,,,,
69.89,64.46,65.71,64.86,,MIntRec,msz,bert-base-uncased,3.0,msz_MIntRec_multi-class_seed-3_2024-01-05-07-32-58,0.6789,,,,,,,,,,,,,,,,,,,,,,,
65.84,60.55,61.46,62.28,,MIntRec,msz,bert-base-uncased,4.0,msz_MIntRec_multi-class_seed-4_2024-01-05-07-43-19,0.6716,,,,,,,,,,,,,,,,,,,,,,,
