acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,hidden_dims,num_attention_heads,attention_probs_dropout_prob,hidden_dropout_prob,intermediate_size,num_hidden_layers,max_position_embeddings,dropout,aligned_method,lr,patience,factor
59.0,50.3,54.89,47.3,0.4986,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,3.0,1000.0,0.2,conv1d,6e-06,8.0,0.1
60.25,50.6,51.57,51.34,0.4989,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,3.0,1000.0,0.2,ctc,6e-06,8.0,0.1
59.73,50.53,61.2,49.72,0.4961,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,3.0,1024.0,0.2,conv1d,6e-06,8.0,0.1
60.41,51.73,56.32,49.87,0.4965,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,3.0,1024.0,0.2,ctc,6e-06,8.0,0.1
59.47,50.22,52.62,49.53,0.5037,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,3.0,768.0,0.2,conv1d,6e-06,8.0,0.1
57.07,50.65,58.36,51.09,0.4976,MELD-DA,msz,bert-base-uncased,1.0,msz_MELD-DA_multi-class_seed-1,768.0,4.0,0.2,0.2,768.0,3.0,768.0,0.2,ctc,6e-06,8.0,0.1
60.2,50.86,51.06,52.74,0.4859,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.2,0.2,768.0,2.0,1000.0,0.2,conv1d,6e-06,8.0,0.1
59.36,49.02,52.53,47.98,0.4893,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.2,0.2,768.0,2.0,1000.0,0.2,ctc,6e-06,8.0,0.1
60.2,49.77,51.37,49.32,0.4944,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.2,0.2,768.0,2.0,1024.0,0.2,conv1d,6e-06,8.0,0.1
58.48,49.67,50.34,49.56,0.5041,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.2,0.2,768.0,2.0,1024.0,0.2,ctc,6e-06,8.0,0.1
59.78,52.47,55.17,53.77,0.4882,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.2,0.2,768.0,2.0,768.0,0.2,conv1d,6e-06,8.0,0.1
60.35,50.97,52.24,51.57,0.4946,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.2,0.2,768.0,2.0,768.0,0.2,ctc,6e-06,8.0,0.1
58.79,51.19,51.29,52.64,0.4901,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.2,0.2,768.0,3.0,1000.0,0.2,conv1d,6e-06,8.0,0.1
56.7,49.89,55.53,48.82,0.4761,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.2,0.2,768.0,3.0,1000.0,0.2,ctc,6e-06,8.0,0.1
58.42,50.24,52.35,49.93,0.4863,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.2,0.2,768.0,3.0,1024.0,0.2,conv1d,6e-06,8.0,0.1
60.15,51.46,53.68,51.2,0.4879,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.2,0.2,768.0,3.0,1024.0,0.2,ctc,6e-06,8.0,0.1
59.83,52.69,56.87,52.23,0.4999,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.2,0.2,768.0,3.0,768.0,0.2,conv1d,6e-06,8.0,0.1
60.2,50.45,54.12,48.95,0.4863,MELD-DA,msz,bert-base-uncased,2.0,msz_MELD-DA_multi-class_seed-2,768.0,6.0,0.2,0.2,768.0,3.0,768.0,0.2,ctc,6e-06,8.0,0.1
