acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name,beta_shift,dropout_prob,warmup_proportion,lr
59.52,49.69,50.97,50.05,0.4913,MELD-DA,mag_bert,bert-base-uncased,1.0,mag_bert_MELD-DA_multi-class_seed-1,0.001,0.3,0.01,2e-05
..,,,,,,,,,,,,,
59.52,50.98,52.23,50.53,0.495,MELD-DA,mag_bert,bert-base-uncased,2.0,mag_bert_MELD-DA_multi-class_seed-2,0.005,0.5,0.1,2e-05
57.38,50.88,52.34,51.16,0.486,MELD-DA,mag_bert,bert-base-uncased,2.0,mag_bert_MELD-DA_multi-class_seed-2,0.005,0.5,0.1,3e-05
59.05,53.69,56.24,53.46,0.506,MELD-DA,mag_bert,bert-base-uncased,3.0,mag_bert_MELD-DA_multi-class_seed-3,0.005,0.5,0.1,2e-05
59.89,50.09,51.61,50.04,0.4922,MELD-DA,mag_bert,bert-base-uncased,3.0,mag_bert_MELD-DA_multi-class_seed-3,0.005,0.5,0.1,3e-05
57.12,49.9,50.97,51.02,0.5,MELD-DA,mag_bert,bert-base-uncased,4.0,mag_bert_MELD-DA_multi-class_seed-4,0.005,0.5,0.1,2e-05
57.17,50.77,52.08,52.63,0.5132,MELD-DA,mag_bert,bert-base-uncased,4.0,mag_bert_MELD-DA_multi-class_seed-4,0.005,0.5,0.1,3e-05
58.58,50.19,50.27,51.82,0.5014,MELD-DA,mag_bert,bert-base-uncased,5.0,mag_bert_MELD-DA_multi-class_seed-5,0.005,0.5,0.1,2e-05
59.36,51.99,50.83,54.51,0.5095,MELD-DA,mag_bert,bert-base-uncased,5.0,mag_bert_MELD-DA_multi-class_seed-5,0.005,0.5,0.1,3e-05
