F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,neg_weight,margin,supcon_loss_weight,triplet_loss_weight
81.1637,94.095,81.4953,90.79,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-16-46-46,2e-05,0.4,0.8,0.3,0.8,0.7,0.9
81.079,94.0723,81.4121,90.75,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-16-51-11,2e-05,0.4,0.7,0.3,0.8,0.7,0.9
81.2321,94.1323,81.5629,90.84,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-16-55-35,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
81.1022,94.0617,81.4345,90.72,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-17-00-41,2e-05,0.8,0.8,0.3,0.8,0.7,0.9
81.2326,94.1123,81.5629,90.81,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-17-04-48,2e-05,0.8,0.9,0.3,0.8,0.7,0.9
..,,,,,,,,,,,,,,,,,,,
81.2321,94.1323,81.5629,90.84,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-17-11-33,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
81.755,94.7107,82.0872,91.6,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-10-05-17-14-37,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
76.1193,90.666,76.4922,86.04,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,3.0,100.0,2024-10-05-17-18-04,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
81.2432,93.5252,81.5581,90.02,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,4.0,100.0,2024-10-05-17-21-35,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
80.365,93.4156,80.6996,89.81,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,5.0,100.0,2024-10-05-17-26-46,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
85.8298,89.8265,85.8823,87.75,oos,ADB,bert,0.5,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-17-35-09,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
86.0362,90.7468,86.0982,88.63,oos,ADB,bert,0.5,1.0,CrossEntropyLoss,2.0,100.0,2024-10-05-17-43-09,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
86.3232,90.0209,86.3719,88.04,oos,ADB,bert,0.5,1.0,CrossEntropyLoss,3.0,100.0,2024-10-05-17-53-13,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
86.9049,90.0704,86.9466,88.19,oos,ADB,bert,0.5,1.0,CrossEntropyLoss,4.0,100.0,2024-10-05-18-01-55,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
85.558,89.3488,85.6079,87.3,oos,ADB,bert,0.5,1.0,CrossEntropyLoss,5.0,100.0,2024-10-05-18-09-17,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
89.1649,85.5567,89.1329,87.47,oos,ADB,bert,0.75,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-18-24-51,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
89.7738,87.2008,89.751,88.58,oos,ADB,bert,0.75,1.0,CrossEntropyLoss,2.0,100.0,2024-10-05-18-44-28,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
89.3305,85.635,89.2978,87.54,oos,ADB,bert,0.75,1.0,CrossEntropyLoss,3.0,100.0,2024-10-05-19-00-00,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
89.3983,86.2728,89.3707,87.93,oos,ADB,bert,0.75,1.0,CrossEntropyLoss,4.0,100.0,2024-10-05-19-15-08,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
89.7696,87.448,89.7491,88.67,oos,ADB,bert,0.75,1.0,CrossEntropyLoss,5.0,100.0,2024-10-05-19-34-08,2e-05,0.5,0.8,0.3,0.8,0.7,0.9
.,,,,,,,,,,,,,,,,,,,
77.3443,90.3719,79.5156,85.83,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-19-43-35,2e-05,0.5,0.8,0.0,0.4,0.3,0.3
76.8331,90.1791,79.0574,85.5,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-19-47-41,2e-05,0.5,0.8,0.0,0.4,0.3,0.5
74.3941,86.6194,76.4316,80.88,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-19-51-51,2e-05,0.5,0.8,0.0,0.4,0.3,0.7
78.14,91.2217,80.3203,86.98,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-19-58-12,2e-05,0.5,0.8,0.0,0.4,0.3,0.2
76.435,89.6457,78.6368,84.78,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-20-01-16,2e-05,0.5,0.8,0.0,0.4,0.5,0.2
77.0566,90.4072,79.2817,85.88,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-20-05-47,2e-05,0.5,0.8,0.0,0.6,0.3,0.2
81.2098,93.2856,83.2224,89.95,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-10-05-20-11-38,2e-05,0.5,0.8,0.0,0.6,0.3,0.2
77.56,90.6879,79.7479,86.27,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-20-18-27,2e-05,0.5,0.8,0.0,0.2,0.3,0.2
76.0895,88.8347,78.2137,83.83,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-20-23-40,2e-05,0.3,0.3,0.3,0.4,0.3,0.2
74.8421,87.7808,76.9986,82.52,stackoverflow,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-10-05-20-27-07,2e-05,0.3,0.3,0.5,0.4,0.3,0.2
