F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,alpha,alpha_loss,margin,p,loss_weight,supcon_loss_weight,triplet_loss_weight
76.0468,86.5999,76.5745,81.56,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-02-05-41,2e-05,0.6,0.6,0.0,0.5,0.3,2.0,1.0,0.7,0.7
73.2483,85.238,73.8478,79.87,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-02-11-14,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.3,0.3
74.9899,86.0638,75.5436,80.94,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-02-18-44,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.3,0.4
75.6534,86.9751,76.2195,81.98,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-02-24-59,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.3,0.5
75.173,85.78299999999999,75.7035,80.55,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-02-31-22,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.3,0.6
74.4748,84.9249,74.9973,79.55,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-02-37-00,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.3,0.7
73.1986,84.6042,73.7689,79.06,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-02-44-54,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.4,0.3
74.8705,85.5422,75.4041,80.26,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-02-53-57,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.4,0.4
75.8337,86.3756,76.3608,81.27,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-03-00-00,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.4,0.5
75.9117,86.3897,76.4356,81.3,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-03-06-14,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.4,0.6
75.5982,86.8059,76.1585,81.72,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-03-12-23,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.4,0.7
73.8869,85.34299999999998,74.4597,79.97,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-03-18-06,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.5,0.3
73.5834,84.0078,74.1047,78.47,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-23-03-24-16,2e-05,0.6,0.6,0.0,0.5,0.4,2.0,1.0,0.5,0.4
