F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,alpha,alpha_loss,margin,p,loss_weight,supcon_loss_weight,triplet_loss_weight
79.382,93.2415,79.7374,89.54,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-07-09-42,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.3,0.4
77.6373,92.4746,78.0178,88.46,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-07-26-13,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.3,0.5
79.4557,93.1743,79.8074,89.49,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-07-42-21,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.3,0.6
76.8205,92.22399999999999,77.2154,88.04,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-08-06-49,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.3,0.7
78.7588,92.9295,79.1221,89.14,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-08-23-24,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.4,0.3
79.3767,93.1941,79.73100000000002,89.51,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-08-43-10,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.4,0.4
78.7885,93.0505,79.1542,89.26,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-08-58-22,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.4,0.5
78.8311,93.0548,79.1958,89.28,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-09-14-08,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.4,0.6
80.1451,93.3685,80.4842,89.74,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-09-37-23,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.4,0.7
79.3984,93.2476,79.7535,89.54,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-09-52-10,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.5,0.3
79.6708,93.3303,80.021,89.7,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-10-10-55,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.5,0.4
78.6147,92.9581,78.9825,89.12,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-10-29-06,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.5,0.5
79.1252,93.067,79.4827,89.32,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-10-52-43,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.5,0.6
80.3251,93.4693,80.6621,89.91,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-11-11-06,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.5,0.7
78.9604,93.0008,79.3204,89.21,oos,ADB,bert,0.25,1.0,CrossEntropyLoss,1,100,2024-09-24-11-26-39,2e-05,0.6,0.6,0,0.5,0.4,2,1,0.6,0.3
