F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time,lr,safe1,safe2,alpha,margin,p,loss_weight,supcon_loss_weight,triplet_loss_weight,neg_weight
75.6043,86.9813,76.1732,81.98,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-40-32,2e-05,0.3,0.7,0.7,0.5,2.0,1.0,0.6,0.7,
75.4141,86.0832,75.9476,80.91,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-43-53,2e-05,0.3,0.7,0.8,0.5,2.0,1.0,0.6,0.7,
76.3449,86.8077,76.8681,81.82,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-47-29,2e-05,0.3,0.8,0.3,0.5,2.0,1.0,0.6,0.7,
74.8204,86.1575,75.3872,80.94,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-50-43,2e-05,0.3,0.8,0.4,0.5,2.0,1.0,0.6,0.7,
75.4858,86.3007,76.0266,81.17,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-54-15,2e-05,0.3,0.8,0.5,0.5,2.0,1.0,0.6,0.7,
75.1035,86.0838,75.6525,80.94,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-20-57-27,2e-05,0.3,0.8,0.6,0.5,2.0,1.0,0.6,0.7,
75.6284,86.71600000000002,76.1828,81.66,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-21-01-24,2e-05,0.3,0.8,0.7,0.5,2.0,1.0,0.6,0.7,
71.8485,82.8487,72.3985,77.08,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-21-04-08,2e-05,0.3,0.8,0.8,0.5,2.0,1.0,0.6,0.7,
76.0328,87.0538,76.5838,82.11,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-21-07-27,2e-05,0.4,0.3,0.3,0.5,2.0,1.0,0.6,0.7,
74.833,86.1384,75.3982,80.97,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-21-10-40,2e-05,0.4,0.3,0.4,0.5,2.0,1.0,0.6,0.7,
74.9136,85.7143,75.4537,80.42,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-21-17-03,2e-05,0.4,0.3,0.5,0.5,2.0,1.0,0.6,0.7,
...,,,,,,,,,,,,,,,,,,,,,,
75.2618,86.4646,75.8219,81.33,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-21-21-49,2e-05,0.3,0.3,,0.5,2.0,1.0,0.6,0.7,0.3
..,,,,,,,,,,,,,,,,,,,,,,
73.6502,83.7745,74.1564,78.21,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-21-36-27,2e-05,0.8,0.8,0.5,0.5,2.0,1.0,0.6,0.7,0.8
76.9399,87.8255,77.4842,82.89,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-21-43-16,2e-05,0.8,0.8,0.6,0.5,2.0,1.0,0.6,0.7,0.8
73.6502,83.7745,74.1564,78.21,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-21-52-38,2e-05,0.8,0.8,0.6,0.5,2.0,1.0,0.6,0.7,0.8
76.6488,87.7267,77.2027,82.82,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-21-59-43,2e-05,0.0,0.0,,0.5,2.0,1.0,0.6,0.7,0.0
76.6488,87.7267,77.2027,82.82,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-22-03-41,2e-05,0.0,0.0,,0.5,2.0,1.0,0.6,0.7,0.0
75.7153,86.8452,76.2718,81.75,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-22-06-53,2e-05,0.0,0.0,,0.6,2.0,1.0,0.6,0.7,0.0
76.8015,87.9173,77.3573,83.05,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-22-10-49,2e-05,0.0,0.0,,0.6,2.0,1.0,0.6,0.7,0.0
76.8015,87.9173,77.3573,83.05,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-22-27-47,2e-05,0.0,0.0,,0.6,2.0,1.0,0.6,0.7,0.0
76.8015,87.9173,77.3573,83.05,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,1.0,100.0,2024-09-28-22-36-55,2e-05,0.0,0.0,,0.6,2.0,1.0,0.6,0.7,0.0
71.1099,85.4576,71.8273,80.0,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,2.0,100.0,2024-09-28-22-40-18,2e-05,0.0,0.0,,0.6,2.0,1.0,0.6,0.7,0.0
73.7311,87.6195,74.4255,82.53,banking,ADB,bert,0.25,1.0,CrossEntropyLoss,3.0,100.0,2024-09-28-22-43-17,2e-05,0.0,0.0,,0.6,2.0,1.0,0.6,0.7,0.0
..,,,,,,,,,,,,,,,,,,,,,,
